nctId,briefTitle,overallStatus,whyStopped,phases,conditions,drug_raw,intervention_type,trial_source
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Statin,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Aspirin tablet,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Nexlizet,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,LEQVIO,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Vascepa,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Jardiance,DRUG,STOPPED
NCT06280976,Aggressive Risk-Prevention Therapies for Coronary Atherosclerotic Plaque (ART-CAP),WITHDRAWN,"study withdrawn, no participants enrolled, changes in the study design planned",PHASE4,Coronary Artery Disease | Atherosclerosis | Heart Attack,Colchicine,DRUG,STOPPED
NCT00300040,Safety/Feasibility Study of HBOC-201 in Amputation at/Below Knee From Critical Lower Limb Ischemia,TERMINATED,Very slow enrollment.Study entry criteria not in line w/local standards of care,PHASE2,Peripheral Vascular Disease,Hemoglobin glutamer 250 - bovine,DRUG,STOPPED
NCT00300040,Safety/Feasibility Study of HBOC-201 in Amputation at/Below Knee From Critical Lower Limb Ischemia,TERMINATED,Very slow enrollment.Study entry criteria not in line w/local standards of care,PHASE2,Peripheral Vascular Disease,6% Hydroxyethylstarch,DRUG,STOPPED
NCT02636062,Predictors of Coronary Artery Calcium Progression in Adults With a Prior Zero Coronary Artery Calcium Score,WITHDRAWN,PI - lack of funding,,Coronary Artery Disease | Endothelial Dysfunction | Atherosclerosis,,,STOPPED
NCT03346577,Endovascular Treatment of Peripheral Artery Disease,TERMINATED,Termination of collaboration,,Peripheral Arterial Disease | Iliac Artery Disease | Below-the-knee Obstruction | Femoropopliteal Occlusive Disease,,,STOPPED
NCT02388971,Proof of Mechanism Study of MLN1202 on Atherosclerotic Inflammation in Participants With Stable Atherosclerotic Cardiovascular Disease,WITHDRAWN,Study has withdrawn.,PHASE2,Atherosclerotic Cardiovascular Disease,MLN1202,DRUG,STOPPED
NCT02388971,Proof of Mechanism Study of MLN1202 on Atherosclerotic Inflammation in Participants With Stable Atherosclerotic Cardiovascular Disease,WITHDRAWN,Study has withdrawn.,PHASE2,Atherosclerotic Cardiovascular Disease,Placebo,DRUG,STOPPED
NCT04073134,The CHORAL Flow Study,TERMINATED,Funding withdrawn,PHASE4,Coronary Artery Disease | Atherosclerosis | Hyperlipidemias,Evolocumab,BIOLOGICAL,STOPPED
NCT04073134,The CHORAL Flow Study,TERMINATED,Funding withdrawn,PHASE4,Coronary Artery Disease | Atherosclerosis | Hyperlipidemias,Placebo,DRUG,STOPPED
NCT05834673,VICTORION-ASCERTAIN: Implementation Study (v-ASCERTAIN),TERMINATED,Loss of strategic interest by the funding party. The participants' recruitment rate failed to meet the target within the pre-specified recruitment windows.,NA,Atherosclerotic Cardiovascular Disease (ASCVD) | Coronary Heart Disease (CHD) | Cerebrovascular Disease | Peripheral Arterial Disease (PAD),,,STOPPED
NCT05594979,Effects of 6 Weeks TOTUM-070 on Lipid Metabolism and Cardiovascular Health in Individuals at Increased Cardio-metabolic Risk,TERMINATED,The recruitment period has come to an end and will not be renewed due to insufficient recruitment.,NA,Hypercholesterolemia | Cardiovascular Risk Factor | Dyslipidemias | Atherosclerosis | Cardio-metabolic Risk,,,STOPPED
NCT03455374,Diamondback in Peripheral Vascular Disease,TERMINATED,PI/Sponsor mutual agreement due to poor enrollment,NA,Peripheral Vascular Diseases | Critical Limb Ischemia,,,STOPPED
NCT01065740,Optimized Supervised Education Program for Peripheral Arterial Disease,TERMINATED,Recruitment Difficulties and Financing Limited and exhausted,NA,Peripheral Arterial Disease,,,STOPPED
NCT03394183,Efficacy of Cardiac Rehab for Patients With Peripheral Artery Disease Versus Patients With Coronary Artery Disease,WITHDRAWN,Insufficient study personnel,NA,Peripheral Arterial Disease | Coronary Artery Disease | Vascular Diseases,,,STOPPED
NCT02790957,Plerixafor in Diabetic Wound Healing,TERMINATED,Safety reasons,PHASE2,Diabetes | Wounds | Critical Limb Ischemia,Plerixafor,DRUG,STOPPED
NCT02790957,Plerixafor in Diabetic Wound Healing,TERMINATED,Safety reasons,PHASE2,Diabetes | Wounds | Critical Limb Ischemia,Placebo,DRUG,STOPPED
NCT01352702,Impact of Dabigatran and Phenprocoumon on Clopidogrel Mediated ADP Induced Platelet Aggregation in Patients With Atrial Fibrillation,TERMINATED,Slow recruitment; Study was terminated for futility reasons,PHASE4,Coronary Heart Disease | Atrial Fibrillation | Acute Coronary Syndrome | Atherosclerosis,Dabigatran,DRUG,STOPPED
NCT01352702,Impact of Dabigatran and Phenprocoumon on Clopidogrel Mediated ADP Induced Platelet Aggregation in Patients With Atrial Fibrillation,TERMINATED,Slow recruitment; Study was terminated for futility reasons,PHASE4,Coronary Heart Disease | Atrial Fibrillation | Acute Coronary Syndrome | Atherosclerosis,Phenprocoumon,DRUG,STOPPED
NCT00203632,Glitazones and Endothelial Function (GATE),TERMINATED,Terminated at 50% enrollment due to recent concerns about rosiglitazone,PHASE3,Diabetes Mellitus,rosiglitazone/placebo,DRUG,STOPPED
NCT04059536,Registry Study to Evaluate the Performance and Safety of Roxwood Medical Catheters in Arteries of Participants With a Stenotic Lesion or Chronic Total Occlusion (CTO),WITHDRAWN,Sponsor decision,,Chronic Total Occlusion | Atherosclerosis | Coronary Artery Disease | Peripheral Artery Disease,Acetylsalicylic Acid,DRUG,STOPPED
NCT04059536,Registry Study to Evaluate the Performance and Safety of Roxwood Medical Catheters in Arteries of Participants With a Stenotic Lesion or Chronic Total Occlusion (CTO),WITHDRAWN,Sponsor decision,,Chronic Total Occlusion | Atherosclerosis | Coronary Artery Disease | Peripheral Artery Disease,Heparin,DRUG,STOPPED
NCT04282161,Pivotal Study of the Medtronic Axys EX Rotational Atherectomy System,WITHDRAWN,Business Decision,NA,Peripheral Arterial Disease,,,STOPPED
NCT02622308,The Effects of INP on Peripheral Circulation in Dialysis Patients and Patients With PAD and Leg Ulcers,TERMINATED,Terminated due to lack of recruitment,NA,Renal Disease | Peripheral Arterial Disease | Arterial Leg Ulcers,,,STOPPED
NCT02114697,Accelerated Atherosclerosis in High Risk Population Groups: An Assessment by Magnetic Resonance Imaging,TERMINATED,The study was stopped when the original principal investigator moved to a new institution.,PHASE4,Atherosclerosis,Statin therapy,DRUG,STOPPED
NCT02215824,"Investigation of Safety, Pharmacokinetics and Pharmacodynamics of Different Doses of BIWH 3 in Patients With Chronic Critical Limb Ischaemia",TERMINATED,,PHASE1,Peripheral Arterial Disease,BIWH 3,DRUG,STOPPED
NCT02215824,"Investigation of Safety, Pharmacokinetics and Pharmacodynamics of Different Doses of BIWH 3 in Patients With Chronic Critical Limb Ischaemia",TERMINATED,,PHASE1,Peripheral Arterial Disease,Placebo,DRUG,STOPPED
NCT01436123,Plasmonic Photothermal and Stem Cell Therapy of Atherosclerosis Versus Stenting,TERMINATED,The study was terminated under the political pressure of the Federal Security Service of the Russian Federation (FSB) and the Russian Society of Cardiology,PHASE1,Coronary Artery Disease | Atherosclerosis,,,STOPPED
NCT00256035,Interleukin-4 (IL-4) as a Marker of Atherosclerosis,WITHDRAWN,,NA,Atherosclerosis | Ischemic Heart Disease,,,STOPPED
NCT04505098,A Pragmatic Randomized Trial of Icosapent Ethyl for High-Cardiovascular Risk Adults,TERMINATED,The study was suspended by the IRB of record and subsequently terminated,PHASE4,Covid19 | Atherosclerosis | Cardiovascular Diseases | Upper Respiratory Tract Infections,Icosapent ethyl,DRUG,STOPPED
NCT00651014,Ezetimibe Plus Simvastatin Versus Simvastatin in Patients With Hypercholesterolemia and Coronary Risk Factors (P03405),TERMINATED,slow subject recruitment and lack of medical and scientific merit due to change in new standard of therapy during that same period.,PHASE4,Hypercholesterolemia | Atherosclerosis,Ezetimibe,DRUG,STOPPED
NCT00651014,Ezetimibe Plus Simvastatin Versus Simvastatin in Patients With Hypercholesterolemia and Coronary Risk Factors (P03405),TERMINATED,slow subject recruitment and lack of medical and scientific merit due to change in new standard of therapy during that same period.,PHASE4,Hypercholesterolemia | Atherosclerosis,Placebo,DRUG,STOPPED
NCT02126540,"Trial of Pantheris System, an Atherectomy Device That Provides Imaging While Removing Plaque in Lower Extremity Arteries",WITHDRAWN,,NA,Peripheral Arterial Disease,,,STOPPED
NCT01114178,Walking Impairment Questionnaire in PAD,TERMINATED,recruitment problem due to administrative process being too long,,Peripheral Artery Disease,,,STOPPED
NCT02007525,Yoga to Improve Physical Function and Maximal Walking Distance Among Patients With Peripheral Arterial Disease,TERMINATED,Insufficient enrollment; non-interest by target sample,NA,Peripheral Arterial Disease,,,STOPPED
NCT03822195,Lectine Pathway in Unstable Carotid Plaque,WITHDRAWN,PI changed Institution,,Carotid Artery Plaque | Mannose-Binding Lectin Complement Pathway,,,STOPPED
NCT00861159,RLIP76 in Human Serum in Adults With Rheumatologic Diseases,WITHDRAWN,Study withdrawn due to lack of staffing resources and subject interest,,Carotid Atherosclerosis,,,STOPPED
NCT05618691,A Study of GFH312 in Patients With Peripheral Artery Disease (PAD) and Intermittent Claudication (IC),WITHDRAWN,The study was terminated by sponsor for reasons of adjusted clinical development strategy.,PHASE2,Intermittent Claudication | Peripheral Artery Disease,GFH312,DRUG,STOPPED
NCT01341340,The ABSORB BTK (Below The Knee) Clinical Investigation,TERMINATED,Discontinued due to poor enrollment. Insufficient number of patients enrolled to permit a statistically rigorous assessment of safety and efficacy.,NA,Atherosclerosis | Peripheral Artery Disease | Peripheral Vascular Disease | PAD | Claudication | Critical Limb Ischemia | Lower Limb Disease | Peripheral Arterial Occlusive Disease | PAOD | PVD,,,STOPPED
NCT03464851,Evaluation of a Novel Technique to Diagnose Carotid Artery Stenosis,TERMINATED,Low enrollment due to inclusion/exclusion criteria,,Carotid Artery Stenosis,,,STOPPED
NCT01030328,AFRICA: Atorvastatin Plus Fenofibric Acid (TriLipix) in the Reduction of Intermediate Coronary Atherosclerosis,WITHDRAWN,Lack of patient population,PHASE3,Coronary Atherosclerosis,Placebo,DRUG,STOPPED
NCT01030328,AFRICA: Atorvastatin Plus Fenofibric Acid (TriLipix) in the Reduction of Intermediate Coronary Atherosclerosis,WITHDRAWN,Lack of patient population,PHASE3,Coronary Atherosclerosis,TriLipix,DRUG,STOPPED
NCT00869375,Use of Clearway™ Balloon vs. Mechanical Thrombectomy as Initial Treatment for Acute Limb Ischemia,TERMINATED,very low enrollment due to low access to study population,NA,Critical Limb Ischemia,,,STOPPED
NCT01901224,"Metformin, Muscle Energetics, and Vascular Function in Older Adults With Peripheral Artery Disease",TERMINATED,study was not funded,PHASE4,Peripheral Artery Disease,Metformin 1000 mg,DRUG,STOPPED
NCT01901224,"Metformin, Muscle Energetics, and Vascular Function in Older Adults With Peripheral Artery Disease",TERMINATED,study was not funded,PHASE4,Peripheral Artery Disease,Placebo,DRUG,STOPPED
NCT05720156,Immunomodulatory Effects of PCSK9 Inhibition,WITHDRAWN,Lack of Feasibility,,"Atherosclerotic Cardiovascular Disease | Cardiovascular Diseases | Atherosclerosis | Arterial Inflammation | Vascular Diseases | Vascular Disease, Peripheral | Vascular Calcification | High Cholesterol/Hyperlipidemia | Heart Diseases | Heart Attack | Stroke | Cerebrovascular Accident | Carotid Artery Diseases | Carotid Atherosclerosis | Transient Ischemic Attack",,,STOPPED
NCT01341730,The Effect of Atorvastatin and Pioglitazone on Carotid Atherosclerosis With the Use of Positron Emission Tomography-computed Tomography (PET-CT),TERMINATED,,PHASE4,Atherosclerosis | Coronary Artery Disease,Atorvastatin 20mg,DRUG,STOPPED
NCT01341730,The Effect of Atorvastatin and Pioglitazone on Carotid Atherosclerosis With the Use of Positron Emission Tomography-computed Tomography (PET-CT),TERMINATED,,PHASE4,Atherosclerosis | Coronary Artery Disease,Atorvastatin 20 mg + Pioglitazone 30 mg,DRUG,STOPPED
NCT01417104,Aliskiren Effect on Aortic Plaque Progression,TERMINATED,Safety concerns with approved medication identified in an unrelated trial,PHASE2|PHASE3,Atherosclerosis,Aliskiren,DRUG,STOPPED
NCT01417104,Aliskiren Effect on Aortic Plaque Progression,TERMINATED,Safety concerns with approved medication identified in an unrelated trial,PHASE2|PHASE3,Atherosclerosis,Placebo,DRUG,STOPPED
NCT05629767,Tracking of Lipid Lowering Therapy in Jordan,TERMINATED,Inadequate enrolling numbers of patients,,Dyslipidemias | Atherosclerotic Cardiovascular Disease,,,STOPPED
NCT00584467,Genetic and Inflammatory Markers in Cardiovascular Disease (GEM) Registry,TERMINATED,,,Atherosclerosis,,,STOPPED
NCT02110251,Exercise Therapy With Risk Factor Management and Life Style Coaching After Vascular Intervention for Patients With Peripheral Arterial Disease,TERMINATED,Difficulties with including patients,NA,"Peripheral Arterial Disease, Rutherford 4 and 5 With Possibility to Improve Vascularization",,,STOPPED
NCT03942601,Temsirolimus Alone or Paired With Dexamethasone Delivered to the Adventitia to eNhance Clinical Efficacy After Femoropopliteal Revascularization,TERMINATED,Halted due to pandemic.,PHASE2,Peripheral Arterial Disease,Temsirolimus,DRUG,STOPPED
NCT03942601,Temsirolimus Alone or Paired With Dexamethasone Delivered to the Adventitia to eNhance Clinical Efficacy After Femoropopliteal Revascularization,TERMINATED,Halted due to pandemic.,PHASE2,Peripheral Arterial Disease,Temsirolimus and dexamethasone sodium phosphate,DRUG,STOPPED
NCT01073111,Assessment of Stent Strut Coverage and Endothelial Function After Drug-Eluting Stents,WITHDRAWN,,NA,Coronary Artery Disease | Atherosclerosis,,,STOPPED
NCT01268319,CANARY: Coronary Assessment by Near-infrared of Atherosclerotic Rupture-prone Yellow,TERMINATED,,NA,Coronary Atherosclerosis | Myocardial Infarction | Coronary Plaque Embolization,,,STOPPED
NCT00353067,Veliflapon (DG-031)to Prevent Heart Attacks or Stroke in Patients With a History of Heart Attack or Unstable Angina,SUSPENDED,,PHASE3,Acute Coronary Syndrome,veliflapon (DG-031),DRUG,STOPPED
NCT01559974,Vitamin D and Walking Ability in Patients With Peripheral Artery Occlusive Disease,TERMINATED,Insufficient recruitment,PHASE4,Peripheral Arterial Disease,Placebo,DRUG,STOPPED
NCT01559974,Vitamin D and Walking Ability in Patients With Peripheral Artery Occlusive Disease,TERMINATED,Insufficient recruitment,PHASE4,Peripheral Arterial Disease,Cholecalciferol,DRUG,STOPPED
NCT00651378,Switching to Rosuvastatin Versus Adding Ezetimibe to Atorvastatin Versus Doubling the Dose of Atorvastatin in Patients With Hypercholesterolemia and Risk Factors (P03708),TERMINATED,Slow enrollment \[HIGH SCREEN FAILURE RATE\],PHASE4,Hypercholesterolemia | Atherosclerosis | Coronary Artery Disease,Rosuvastatin,DRUG,STOPPED
NCT00651378,Switching to Rosuvastatin Versus Adding Ezetimibe to Atorvastatin Versus Doubling the Dose of Atorvastatin in Patients With Hypercholesterolemia and Risk Factors (P03708),TERMINATED,Slow enrollment \[HIGH SCREEN FAILURE RATE\],PHASE4,Hypercholesterolemia | Atherosclerosis | Coronary Artery Disease,Ezetimibe + Atorvastatin,DRUG,STOPPED
NCT00651378,Switching to Rosuvastatin Versus Adding Ezetimibe to Atorvastatin Versus Doubling the Dose of Atorvastatin in Patients With Hypercholesterolemia and Risk Factors (P03708),TERMINATED,Slow enrollment \[HIGH SCREEN FAILURE RATE\],PHASE4,Hypercholesterolemia | Atherosclerosis | Coronary Artery Disease,Double Atorvastatin,DRUG,STOPPED
NCT03382249,Sonodynamic Therapy Manipulates Atherosclerosis Regression Trial on Patients With Carotid Atherosclerotic Plaques,WITHDRAWN,redesign,PHASE1|PHASE2,Carotid Atherosclerosis,,,STOPPED
NCT00067041,Effects of Remodulin in Patients With Critical Limb Ischemia Following a Vein Bypass Graft,TERMINATED,,PHASE2|PHASE3,Peripheral Vascular Disease,Remodulin (treprostinil sodium) Injection,DRUG,STOPPED
NCT00942643,Endothelial Damage and Atherosclerosis in Obstructive Sleep Apnea,TERMINATED,Poor patient recruitment,NA,Obstructive Sleep Apnea | Insulin Resistance | Endothelial Function | Oxidative Stress,,,STOPPED
NCT04792008,YQ23 Study in Patients With Critical Limb Ischaemia,TERMINATED,Due to business decision,PHASE1|PHASE2,Critical Limb Ischemia,YQ23,BIOLOGICAL,STOPPED
NCT04792008,YQ23 Study in Patients With Critical Limb Ischaemia,TERMINATED,Due to business decision,PHASE1|PHASE2,Critical Limb Ischemia,Matching placebo,BIOLOGICAL,STOPPED
NCT01638585,Safety and Efficacy Study of Urokinase for the Treatment of Diabetic Foot Syndrome and Critical Limb Ischemia,TERMINATED,recruition number was not reached,PHASE3,Diabetic Foot | Critical Limb Ischemia,urokinase,DRUG,STOPPED
NCT04123093,Safety and Efficacy of the Noxsano Wound Care Bandage,TERMINATED,"Due to rigorous inclusion criteria and the constraints brought on the health care system from the COVID 19 pandemic which adversely effected enrollment, the sponsor and collaborator have decided to halt enrollment and officially close out the study.",NA,"Wound Heal | Peripheral Artery Disease | Ulcer, Leg | Ulcer Foot | Diabetic Foot Ulcer | Arterial Insufficiency",,,STOPPED
NCT00527943,Trial to Assess the Effects of Vorapaxar (SCH 530348; MK-5348) in Preventing Heart Attack and Stroke in Particpants With Acute Coronary Syndrome (TRA•CER) (Study P04736),TERMINATED,The trial was terminated at the request of the Data and Safety Monitoring Board.,PHASE3,Atherosclerosis | Myocardial Ischemia | Myocardial Infarction,Vorapaxar,DRUG,STOPPED
NCT00527943,Trial to Assess the Effects of Vorapaxar (SCH 530348; MK-5348) in Preventing Heart Attack and Stroke in Particpants With Acute Coronary Syndrome (TRA•CER) (Study P04736),TERMINATED,The trial was terminated at the request of the Data and Safety Monitoring Board.,PHASE3,Atherosclerosis | Myocardial Ischemia | Myocardial Infarction,Placebo,DRUG,STOPPED
NCT03247972,Antiplatelet Effects of Evolocumab in Patients With Peripheral Arterial Disease,TERMINATED,Research group transferred to another hospital,,Peripheral Arterial Disease,Evolocumab,DRUG,STOPPED
NCT05063474,Microvascular Reactivity in Peripheral Artery Disease,TERMINATED,Poor enrollment and lack of funding,,Peripheral Artery Disease,,,STOPPED
NCT00985478,First in Man Study With SLV342,TERMINATED,Terminated on 14 Sep 2010 due to strategic considerations,PHASE1,Pharmacokinetics,SLV342,DRUG,STOPPED
NCT00985478,First in Man Study With SLV342,TERMINATED,Terminated on 14 Sep 2010 due to strategic considerations,PHASE1,Pharmacokinetics,placebo,DRUG,STOPPED
NCT04176978,PsA T2T Statin Trial on Carotid and Coronary Atherosclerosis,WITHDRAWN,Lack of funding,NA,Psoriatic Arthritis | Atherosclerosis,Rosuvastatin,DRUG,STOPPED
NCT00856817,Heme Oxygenase (HO) Activity and Adenosine Induced Vasodilation,TERMINATED,Recruitment faillure. Similar study published by others. Not yet entered treatment phase.,PHASE4,Atherosclerotic Cardiovascular Disease,L-arginine + heme arginate,DRUG,STOPPED
NCT00856817,Heme Oxygenase (HO) Activity and Adenosine Induced Vasodilation,TERMINATED,Recruitment faillure. Similar study published by others. Not yet entered treatment phase.,PHASE4,Atherosclerotic Cardiovascular Disease,Heme arginate + L-arginine,DRUG,STOPPED
NCT06387355,Diagnosis and Treatment of CAD in Severe PAD After Lower Extremity Revascularization,WITHDRAWN,Intent to fund was rescinded,NA,Peripheral Artery Disease | Coronary Artery Disease,,,STOPPED
NCT00311311,Study Comparing Effect On Carotid Atherosclerosis Following Conversion From Tacrolimus To Sirolimus Post-Transplant In Kidney Transplant Patients,TERMINATED,See termination reason in detailed description.,PHASE3,Atherosclerosis | Kidney Failure,tacrolimus,DRUG,STOPPED
NCT00311311,Study Comparing Effect On Carotid Atherosclerosis Following Conversion From Tacrolimus To Sirolimus Post-Transplant In Kidney Transplant Patients,TERMINATED,See termination reason in detailed description.,PHASE3,Atherosclerosis | Kidney Failure,mycophenolate mofetil,DRUG,STOPPED
NCT00311311,Study Comparing Effect On Carotid Atherosclerosis Following Conversion From Tacrolimus To Sirolimus Post-Transplant In Kidney Transplant Patients,TERMINATED,See termination reason in detailed description.,PHASE3,Atherosclerosis | Kidney Failure,prednisone,DRUG,STOPPED
NCT00311311,Study Comparing Effect On Carotid Atherosclerosis Following Conversion From Tacrolimus To Sirolimus Post-Transplant In Kidney Transplant Patients,TERMINATED,See termination reason in detailed description.,PHASE3,Atherosclerosis | Kidney Failure,sirolimus,DRUG,STOPPED
NCT04109287,Blood Flow Changes in Femoral-popliteal Bypass Grafts After Neuromuscular Electrical Stimulation (NMES).,WITHDRAWN,COVID-19,NA,Peripheral Arterial Disease | Peripheral Artery Disease | Peripheral Vascular Disease | Femoral Popliteal Occlusion,,,STOPPED
NCT03968198,Administration of Adipose-derived Stem Cells (ASC) in Patient With Critical Limb Ischemia.,TERMINATED,organizational difficulties for the collection of adipose tissue and for the supply of the experimental drug,PHASE2,Critical Limb Ischemia and Peripheral Artery Disease,Autologous ASC (for Adipose-derived Stem/Stroma Cell),DRUG,STOPPED
NCT00120289,Niacin Plus Statin to Prevent Vascular Events,TERMINATED,AIM-HIGH was stopped on the recommendation of the DSMB because of lack of efficacy of niacin in preventing primary outcome events.,PHASE3,Cardiovascular Diseases | Heart Diseases | Cerebrovascular Accident | Coronary Disease | Atherosclerosis | Myocardial Infarction,Extended release niacin,DRUG,STOPPED
NCT00120289,Niacin Plus Statin to Prevent Vascular Events,TERMINATED,AIM-HIGH was stopped on the recommendation of the DSMB because of lack of efficacy of niacin in preventing primary outcome events.,PHASE3,Cardiovascular Diseases | Heart Diseases | Cerebrovascular Accident | Coronary Disease | Atherosclerosis | Myocardial Infarction,Simvastatin,DRUG,STOPPED
NCT05191862,Bioequivalence Study of PMR Compared to Cilostazol IR Tablets in Healthy Volunteers,TERMINATED,Randomization Error,PHASE1,Intermittent Claudication,Cilostazol 100 mg,DRUG,STOPPED
NCT05191862,Bioequivalence Study of PMR Compared to Cilostazol IR Tablets in Healthy Volunteers,TERMINATED,Randomization Error,PHASE1,Intermittent Claudication,PMR 135 mg,DRUG,STOPPED
NCT00673582,Effectiveness of Rosuvastatin at Preventing the Progression of Atherosclerosis in HIV Positive Patients,TERMINATED,Sponsor has withdrawn the funding,PHASE4,Atherosclerosis | HIV Infections,Rosuvastatin,DRUG,STOPPED
NCT00673582,Effectiveness of Rosuvastatin at Preventing the Progression of Atherosclerosis in HIV Positive Patients,TERMINATED,Sponsor has withdrawn the funding,PHASE4,Atherosclerosis | HIV Infections,Placebo,DRUG,STOPPED
NCT01326676,Polypill Effects on Sub Clinical Atherosclerosis (PESCA) Trial,WITHDRAWN,Funding never attained,PHASE3,Cardiovascular Disease,Polypill: Red Heart Pill,DRUG,STOPPED
NCT01326676,Polypill Effects on Sub Clinical Atherosclerosis (PESCA) Trial,WITHDRAWN,Funding never attained,PHASE3,Cardiovascular Disease,Usual medication,DRUG,STOPPED
NCT00512369,Effects of PA-1 Transcriptional Regulation on Monocyte Function,TERMINATED,Investigator left institution,,Atherosclerosis,,,STOPPED
NCT03542110,The Alirocumab for Stopping Atherosclerosis Progression in Saphenous Vein Grafts (ASAP-SVG) Pilot Trial,TERMINATED,Withdrawal of medication and funding support by Sponsor,PHASE4,Saphenous Vein Graft Atherosclerosis,Alirocumab 150 MG/ML subcutaneous injection,DRUG,STOPPED
NCT03542110,The Alirocumab for Stopping Atherosclerosis Progression in Saphenous Vein Grafts (ASAP-SVG) Pilot Trial,TERMINATED,Withdrawal of medication and funding support by Sponsor,PHASE4,Saphenous Vein Graft Atherosclerosis,Matching Placebo subcutaneous injection,DRUG,STOPPED
