diseaseId,diseaseName,phenotypeId,phenotypeName,score
MONDO_0019207,DEND syndrome,HP_0030795,Reduced C-peptide level,1.0
MONDO_0019207,DEND syndrome,HP_0003074,Hyperglycemia,1.0
MONDO_0019207,DEND syndrome,HP_0100651,Type I diabetes mellitus,1.0
MONDO_0019207,DEND syndrome,HP_0040217,Elevated hemoglobin A1c,1.0
MONDO_0019207,DEND syndrome,HP_0000819,Diabetes mellitus,1.0
EFO_0000341,chronic obstructive pulmonary disease,HP_0006510,Chronic pulmonary obstruction,1.0
EFO_0000284,benign prostatic hyperplasia,HP_0003593,Infantile onset,1.0
EFO_0000284,benign prostatic hyperplasia,HP_0008711,Benign prostatic hyperplasia,1.0
EFO_0000284,benign prostatic hyperplasia,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0005129,cataract,HP_0011462,Young adult onset,1.0
MONDO_0005129,cataract,HP_0000572,Visual loss,1.0
MONDO_0005129,cataract,HP_0007787,Posterior subcapsular cataract,1.0
MONDO_0005129,cataract,HP_0007971,Lamellar cataract,1.0
MONDO_0005129,cataract,HP_0000616,Miosis,1.0
MONDO_0005129,cataract,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0005129,cataract,HP_0010695,Sutural cataract,1.0
MONDO_0005129,cataract,HP_0000501,Glaucoma,1.0
MONDO_0005129,cataract,HP_0003577,Congenital onset,1.0
MONDO_0005129,cataract,HP_0007663,Reduced visual acuity,1.0
MONDO_0005129,cataract,HP_0100018,Nuclear cataract,1.0
MONDO_0005129,cataract,HP_0000545,Myopia,1.0
MONDO_0005129,cataract,HP_0000518,Cataract,1.0
MONDO_0005129,cataract,HP_0000519,Developmental cataract,1.0
MONDO_0005129,cataract,HP_0000577,Exotropia,1.0
MONDO_0005129,cataract,HP_0000646,Amblyopia,1.0
MONDO_0005129,cataract,HP_0003621,Juvenile onset,1.0
MONDO_0005129,cataract,HP_0100019,Cortical cataract,1.0
MONDO_0005129,cataract,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0005129,cataract,HP_0012043,Pendular nystagmus,1.0
EFO_0000676,psoriasis,HP_0025092,Epidermal acanthosis,1.0
EFO_0000676,psoriasis,HP_0000962,Hyperkeratosis,1.0
EFO_0000676,psoriasis,HP_0001803,Nail pits,1.0
EFO_0000676,psoriasis,HP_0040189,Scaling skin,1.0
EFO_0000676,psoriasis,HP_0001036,Parakeratosis,1.0
EFO_0000676,psoriasis,HP_0001426,Non-Mendelian inheritance,1.0
EFO_0000676,psoriasis,HP_0025088,Onychomadesis,1.0
EFO_0000676,psoriasis,HP_0001806,Onycholysis,1.0
EFO_0000676,psoriasis,HP_0003765,Psoriasiform dermatitis,1.0
EFO_0000676,psoriasis,HP_0001369,Arthritis,1.0
EFO_0000676,psoriasis,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0004562,cryptorchidism,HP_0000104,Renal agenesis,1.0
EFO_0004562,cryptorchidism,HP_0000028,Cryptorchidism,1.0
EFO_0004562,cryptorchidism,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0004562,cryptorchidism,HP_0012741,Unilateral cryptorchidism,1.0
EFO_0003948,gastroesophageal reflux disease,HP_0100633,Esophagitis,1.0
EFO_0003948,gastroesophageal reflux disease,HP_0100580,Barrett esophagus,1.0
EFO_0003948,gastroesophageal reflux disease,HP_0002020,Gastroesophageal reflux,1.0
EFO_0003948,gastroesophageal reflux disease,HP_0100751,Esophageal neoplasm,1.0
EFO_0003948,gastroesophageal reflux disease,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001631,Atrial septal defect,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002091,Restrictive ventilatory defect,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0012735,Cough,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001266,Choreoathetosis,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0025179,Ground-glass opacification,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0012418,Hypoxemia,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002925,Elevated circulating thyroid-stimulating hormone concentration,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0030830,Crackles,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0032177,Parenchymal consolidation,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0008223,Compensated hypothyroidism,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002643,Neonatal respiratory distress,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0003577,Congenital onset,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0000851,Congenital hypothyroidism,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002206,Pulmonary fibrosis,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002113,Pulmonary infiltrates,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001290,Generalized hypotonia,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001629,Ventricular septal defect,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001263,Global developmental delay,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002360,Sleep abnormality,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001332,Dystonia,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002789,Tachypnea,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002136,Broad-based gait,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0032977,Elevated bronchoalveolar lavage fluid neutrophil proportion,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0030828,Wheezing,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0100750,Atelectasis,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0032976,Elevated bronchoalveolar lavage fluid lymphocyte proportion,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0002098,Respiratory distress,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0009797,Cholesteatoma,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0001270,Motor delay,1.0
MONDO_0012593,brain-lung-thyroid syndrome,HP_0000824,Decreased response to growth hormone stimulation test,1.0
MONDO_0009061,cystic fibrosis,HP_0001394,Cirrhosis,1.0
MONDO_0009061,cystic fibrosis,HP_0002570,Steatorrhea,1.0
MONDO_0009061,cystic fibrosis,HP_0011463,Childhood onset,1.0
MONDO_0009061,cystic fibrosis,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0009061,cystic fibrosis,HP_0001738,Exocrine pancreatic insufficiency,1.0
MONDO_0009061,cystic fibrosis,HP_0032342,Reduced forced expiratory volume in one second,1.0
MONDO_0009061,cystic fibrosis,HP_0032341,Reduced forced vital capacity,1.0
MONDO_0009061,cystic fibrosis,HP_0002035,Rectal prolapse,1.0
MONDO_0009061,cystic fibrosis,HP_0003593,Infantile onset,1.0
MONDO_0009061,cystic fibrosis,HP_6000100,Hyperpolarized transepithelial nasal potential difference,1.0
MONDO_0009061,cystic fibrosis,HP_0002099,Asthma,1.0
MONDO_0009061,cystic fibrosis,HP_0002105,Hemoptysis,1.0
MONDO_0009061,cystic fibrosis,HP_0011109,Chronic sinusitis,1.0
MONDO_0009061,cystic fibrosis,HP_0100759,Clubbing of fingers,1.0
MONDO_0009061,cystic fibrosis,HP_0100582,Nasal polyposis,1.0
MONDO_0009061,cystic fibrosis,HP_0002014,Diarrhea,1.0
MONDO_0009061,cystic fibrosis,HP_0006532,Recurrent pneumonia,1.0
MONDO_0009061,cystic fibrosis,HP_0002613,Biliary cirrhosis,1.0
MONDO_0009061,cystic fibrosis,HP_0001944,Dehydration,1.0
MONDO_0009061,cystic fibrosis,HP_0006538,Recurrent bronchopulmonary infections,1.0
MONDO_0009061,cystic fibrosis,HP_0002150,Hypercalciuria,1.0
MONDO_0009061,cystic fibrosis,HP_0002595,Ileus,1.0
MONDO_0009061,cystic fibrosis,HP_0001648,Cor pulmonale,1.0
MONDO_0009061,cystic fibrosis,HP_0003251,Male infertility,1.0
MONDO_0009061,cystic fibrosis,HP_0001733,Pancreatitis,1.0
MONDO_0009061,cystic fibrosis,HP_0006528,Chronic lung disease,1.0
MONDO_0009061,cystic fibrosis,HP_0004401,Meconium ileus,1.0
MONDO_0009061,cystic fibrosis,HP_0001433,Hepatosplenomegaly,1.0
MONDO_0009061,cystic fibrosis,HP_0001508,Failure to thrive,1.0
MONDO_0009061,cystic fibrosis,HP_0032359,Decreased forced expiratory flow 25-75%,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0000819,Diabetes mellitus,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0002460,Distal muscle weakness,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0025708,Early young adult onset,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0002960,Autoimmunity,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0002591,Polyphagia,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0100651,Type I diabetes mellitus,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0001993,Ketoacidosis,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0007354,Amyotrophic lateral sclerosis,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0003693,Distal amyotrophy,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0001959,Polydipsia,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0001257,Spasticity,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0410050,"Decreased level of 1,5 anhydroglucitol in serum",1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0003074,Hyperglycemia,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0000103,Polyuria,1.0
MONDO_0005147,type 1 diabetes mellitus,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0011667,maturity-onset diabetes of the young type 4,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0011667,maturity-onset diabetes of the young type 4,HP_0004904,Maturity-onset diabetes of the young,1.0
MONDO_0011667,maturity-onset diabetes of the young type 4,HP_0005978,Type II diabetes mellitus,1.0
MONDO_0010894,maturity-onset diabetes of the young type 3,HP_0003074,Hyperglycemia,1.0
MONDO_0010894,maturity-onset diabetes of the young type 3,HP_0004904,Maturity-onset diabetes of the young,1.0
MONDO_0010894,maturity-onset diabetes of the young type 3,HP_0005978,Type II diabetes mellitus,1.0
MONDO_0010894,maturity-onset diabetes of the young type 3,HP_0003593,Infantile onset,1.0
MONDO_0010894,maturity-onset diabetes of the young type 3,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0007453,maturity-onset diabetes of the young type 2,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0007453,maturity-onset diabetes of the young type 2,HP_0003621,Juvenile onset,1.0
MONDO_0007453,maturity-onset diabetes of the young type 2,HP_0004904,Maturity-onset diabetes of the young,1.0
MONDO_0011668,maturity-onset diabetes of the young type 6,HP_0004904,Maturity-onset diabetes of the young,1.0
MONDO_0011668,maturity-onset diabetes of the young type 6,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0000685,rheumatoid arthritis,HP_0012276,Digital flexor tenosynovitis,1.0
EFO_0000685,rheumatoid arthritis,HP_0002633,Vasculitis,1.0
EFO_0000685,rheumatoid arthritis,HP_0006252,Interphalangeal joint erosions,1.0
EFO_0000685,rheumatoid arthritis,HP_0002923,Rheumatoid factor positive,1.0
EFO_0000685,rheumatoid arthritis,HP_0011227,Elevated circulating C-reactive protein concentration,1.0
EFO_0000685,rheumatoid arthritis,HP_0005764,Polyarticular arthritis,1.0
EFO_0000685,rheumatoid arthritis,HP_0001387,Joint stiffness,1.0
EFO_0000685,rheumatoid arthritis,HP_0001824,Weight loss,1.0
EFO_0000685,rheumatoid arthritis,HP_0033034,Anti-citrullinated protein antibody positivity,1.0
EFO_0000685,rheumatoid arthritis,HP_0012378,Fatigue,1.0
EFO_0000685,rheumatoid arthritis,HP_0006150,Swan neck-like deformities of the fingers,1.0
EFO_0000685,rheumatoid arthritis,HP_0001945,Fever,1.0
EFO_0000685,rheumatoid arthritis,HP_0001370,Rheumatoid arthritis,1.0
EFO_0000685,rheumatoid arthritis,HP_0003565,Elevated erythrocyte sedimentation rate,1.0
EFO_0000685,rheumatoid arthritis,HP_0001386,Joint swelling,1.0
EFO_0000685,rheumatoid arthritis,HP_0002829,Arthralgia,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0001511,Intrauterine growth retardation,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0003074,Hyperglycemia,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0004904,Maturity-onset diabetes of the young,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0000819,Diabetes mellitus,1.0
MONDO_0013240,maturity-onset diabetes of the young type 10,HP_0001953,Diabetic ketoacidosis,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0000825,Hyperinsulinemic hypoglycemia,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0001943,Hypoglycemia,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0002173,Hypoglycemic seizures,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0000842,Hyperinsulinemia,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0012396,exercise-induced hyperinsulinism,HP_0004510,Pancreatic islet-cell hyperplasia,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002013,Vomiting,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001298,Encephalopathy,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002240,Hepatomegaly,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0031956,Elevated circulating aspartate aminotransferase concentration,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0025435,Increased circulating lactate dehydrogenase concentration,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0011463,Childhood onset,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0003215,Dicarboxylic aciduria,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0040155,Elevated urinary 3-hydroxybutyric acid,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002910,Elevated circulating hepatic transaminase concentration,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001250,Seizure,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001943,Hypoglycemia,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0003593,Infantile onset,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002919,Ketonuria,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002570,Steatorrhea,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001325,Hypoglycemic coma,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0031964,Elevated circulating alanine aminotransferase concentration,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001397,Hepatic steatosis,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0003621,Juvenile onset,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002148,Hypophosphatemia,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001942,Metabolic acidosis,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0030781,Increased circulating free fatty acid level,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0002014,Diarrhea,1.0
MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HP_0001259,Coma,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0011462,Young adult onset,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0000819,Diabetes mellitus,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0001249,Intellectual disability,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0000825,Hyperinsulinemic hypoglycemia,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0003621,Juvenile onset,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0001325,Hypoglycemic coma,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0002173,Hypoglycemic seizures,1.0
MONDO_0011236,hyperinsulinism due to glucokinase deficiency,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0000712,stroke,HP_0003581,Adult onset,1.0
EFO_0000712,stroke,HP_0001297,Stroke,1.0
EFO_0000712,stroke,HP_0001426,Non-Mendelian inheritance,1.0
