feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance	meta_rank_up	rra_score	rra_rank_up	ensemble_rank_up
ITGAL	0.821315095222229	0.101732940968908	8.07324635855402	6.84532930043946e-16	0.0	0.0	2	5.26316536299875e-13	2	2	0	1	0.0009613209681067631	0.0001621582770227	0.0018924459864374705	0.0012406584736059751
ARHGAP25	0.770448706091641	0.095640819802929	8.05564724015516	7.90593358594084e-16	0.0	0.0	2	5.39303840737196e-13	2	2	0	1	0.001130965844831486	0.000127367147845	0.0013667665457603954	0.001201706055110159
CTSL	0.764925301706539	0.0949593903404314	8.05528867618322	7.9291449101827e-16	0.0	0.0	2	5.39303840737196e-13	2	2	0	1	0.0011875141370730603	0.001306856358888	0.010697576617778478	0.004040532881284685
LRRC25	0.650864897988403	0.0807726881349541	8.05798238262103	7.756399389366359e-16	0.0	0.0	2	5.39303840737196e-13	2	2	0	1	0.0010744175525899118	0.0006828888210221	0.006203017399989487	0.002612997506809784
GNA15	0.668280143437048	0.0837955071136618	7.9751309641289	1.5221932374009102e-15	0.0	0.0	2	9.96980192970283e-13	2	2	0	1	0.0012440624293146346	0.0004136509369331	0.004363139357619723	0.002179785507806161
NAGK	0.451066703146633	0.0567465043881296	7.94880156954634	1.88324419467249e-15	0.0	0.0	2	1.18940322637815e-12	2	2	0	1	0.001300610721556209	0.0002115476940715	0.0024181254271145457	0.00163586513322371
ACADL	-1.23804092911978	0.155887316351968	-7.94189648068922	1.9911308899013604e-15	0.0	0.0	2	1.21417788472468e-12	2	0	2	1	0.999604161954309	1.0	1.0	0.9997229133680163
SLC22A3	-1.15683020165874	0.146004469686074	-7.92325196719012	2.3137804607195404e-15	0.0	0.0	2	1.36389645557881e-12	2	0	2	1	0.9995476136620675	1.0	1.0	0.9996833295634471
FKBP15	0.51405252573964	0.0651269209614661	7.89308811395815	2.94799319597187e-15	0.0	0.0	2	1.68168747346989e-12	2	2	0	1	0.0014137073060393576	0.0002655227509481	0.0028386689796562055	0.001841195808124412
NEXN	-1.01752011222564	0.129289960161103	-7.87006284910099	3.54463134996911e-15	0.0	0.0	2	1.8994927512985996e-12	2	0	2	1	0.9994345170775842	1.0	1.0	0.999604161954309
PDZRN3	-1.06997672099126	0.135944937272028	-7.87066250838179	3.5276810088692704e-15	0.0	0.0	2	1.8994927512985996e-12	2	0	2	1	0.9994910653698258	1.0	1.0	0.999643745758878
MAPK13	0.719793960180007	0.0919078539391434	7.83169151851394	4.813494014772971e-15	0.0	0.0	2	2.50358318109545e-12	2	2	0	1	0.001470255598280932	0.0003942448297033	0.004205435525416601	0.0022908095764216326
HSPB8	-0.879019831619934	0.112332544355577	-7.82515731894655	5.070224721175731e-15	0.0	0.0	2	2.5617672562649e-12	2	0	2	1	0.9993779687853427	1.0	1.0	0.9995645781497398
PLEK	1.19682002783878	0.153019977482222	7.82133187791004	5.2267343433632505e-15	0.0	0.0	2	2.5674880591120997e-12	2	2	0	1	0.0015268038905225062	9.32425572602498e-05	0.0010513588813541503	0.0013841703877719993
SFMBT2	0.733728207125315	0.0940445698810589	7.80191996255907	6.0972315519805e-15	0.0	0.0	2	2.9141471017627897e-12	2	2	0	1	0.0015833521827640805	0.0004959374937153	0.0049676707143983595	0.002598647742254364
FCGRT	0.641665284358147	0.0823836233592363	7.78874803260529	6.7676412717636905e-15	0.0	0.0	2	3.14944653289129e-12	2	2	0	1	0.0016399004750056547	0.0001515774321461	0.0017873100983020554	0.001684123361994575
OXCT1	-0.599014406024797	0.077008095561496	-7.77859005156731	7.33372898381881e-15	0.0	0.0	2	3.2892455800812298e-12	2	0	2	1	0.9993214204931011	1.0	1.0	0.9995249943451707
PDZRN4	-0.916565152898353	0.11785938276033	-7.77676864948642	7.4400488126696e-15	0.0	0.0	2	3.2892455800812298e-12	2	0	2	1	0.9992648722008596	1.0	1.0	0.9994854105406017
MAP2	-0.827526606857458	0.106835266424738	-7.74581872213917	9.49679181383199e-15	0.0	0.0	2	4.09612844965378e-12	2	0	2	1	0.9992083239086179	1.0	1.0	0.9994458267360324
LHFPL2	0.762971098144185	0.0988649989025815	7.7173024489283	1.18817480314506e-14	0.0	0.0	2	5.002781718766e-12	2	2	0	1	0.0016964487672472292	0.000366009817833	0.0040477316932134785	0.002401833645037104
MXRA7	-0.515249985826109	0.0669312901426437	-7.69819294873907	1.3800388082526101e-14	0.0	0.0	2	5.67548983375327e-12	2	0	2	1	0.9991517756163764	1.0	1.0	0.9994062429314634
CNN1	-1.10178428352548	0.143634445554473	-7.6707525083712	1.7099019381488802e-14	0.0	0.0	2	6.87225133505109e-12	2	0	2	1	0.9990952273241348	1.0	1.0	0.9993666591268944
NOD2	0.533863326427868	0.0697793978461957	7.65072991321282	1.9984168613475e-14	0.0	0.0	2	7.853334172459829e-12	2	2	0	1	0.0017529970594888035	0.0004038896067199	0.004310571413552016	0.002520269365707767
FBLN5	-0.723077468893081	0.0946161341745519	-7.64222164857335	2.13505216392695e-14	0.0	0.0	2	8.20788314497481e-12	2	0	2	1	0.9990386790318933	1.0	1.0	0.9993270753223251
STK10	0.725656759466813	0.0953408467942966	7.61118433353607	2.7159554491338202e-14	0.0	0.0	2	1.0218926843081399e-11	2	2	0	1	0.0018095453517303778	0.0001843907992695	0.0021815696788098616	0.0019211526498542227
MKNK1	0.49390291658979	0.0650329026855509	7.59466202789571	3.08596797349641e-14	0.0	0.0	2	1.13692203423563e-11	2	2	0	1	0.001866093643971952	0.0008534061476118	0.007254376281343637	0.003482578435183457
TCN2	0.63658636314522	0.0839939320009284	7.5789565743652	3.48345070657103e-14	0.0	0.0	2	1.25717025091841e-11	2	2	0	1	0.0019226419362135263	0.0004694216414944	0.004783682910161384	0.0027809542283978835
STAB1	0.837768738632776	0.110719781074278	7.56656787526294	3.8321399463448905e-14	0.0	0.0	2	1.3553512562232598e-11	2	2	0	1	0.001979190228455101	0.0001683647347404	0.001945013930505178	0.001968937339070124
IKZF1	0.784017989535092	0.103710988327509	7.55964244655775	4.0417884585736904e-14	0.0	0.0	2	1.4014703353219e-11	2	2	0	1	0.002035738520696675	0.0001977361402774	0.002260421594911423	0.0021031434429610993
RERG	-0.859071480645134	0.114001922044741	-7.53558769217931	4.86140362773714e-14	0.0	0.0	2	1.65325118755584e-11	2	0	2	1	0.9989821307396517	1.0	1.0	0.9992874915177561
NRP1	0.591958480185471	0.0786539557558303	7.52611199903435	5.2273506520227205e-14	0.0	0.0	2	1.7441597911390498e-11	2	2	0	1	0.0020922868129382493	0.000341384312769	0.0037060400567733797	0.002576412786088788
RCC2	0.345071113390131	0.0458677155115993	7.52318072834622	5.3459444775316504e-14	0.0	0.0	2	1.7506978174198098e-11	2	2	0	1	0.0021488351051798236	0.0006923842642556	0.006281869316091047	0.0033887453684531906
GMFG	0.963588188843051	0.128265634122594	7.51244240465898	5.80342773873335e-14	0.0	0.0	2	1.8659602933047397e-11	2	2	0	1	0.002205383397421398	0.0024670268775987	0.0181885086474268	0.007000320972423018
DMD	-0.753148143660797	0.100306562273344	-7.50846332075861	5.98254434352089e-14	0.0	0.0	2	1.8892020387647e-11	2	0	2	1	0.9989255824474101	1.0	1.0	0.9992479077131871
APBB1IP	0.913443390417716	0.121760780213069	7.50195086479638	6.28749427793002e-14	0.0	0.0	2	1.9506675229985e-11	2	2	0	1	0.002261931689662972	0.0002045836405762	0.0023129895389791305	0.0022772490444578197
PKD2	-0.672361962507583	0.0901092956603972	-7.46162710051106	8.546046730763371e-14	0.0	0.0	2	2.6056601790830898e-11	2	0	2	1	0.9988690341551685	1.0	1.0	0.9992083239086178
IL2RG	0.899331424849551	0.120670737527202	7.45277142809225	9.13995575969584e-14	0.0	0.0	2	2.6938496275743498e-11	2	2	0	1	0.0023184799819045464	0.0007277618017036	0.006570993008463439	0.003594233889872214
TRPC1	-0.689255333329747	0.0924625957011393	-7.45442336009668	9.02617259073875e-14	0.0	0.0	2	2.6938496275743498e-11	2	0	2	1	0.9988124858629269	1.0	1.0	0.9991687401040488
METAP1	-0.443314736780566	0.0595278072890735	-7.44718740651376	9.53511282881899e-14	0.0	0.0	2	2.71966024620702e-11	2	0	2	1	0.9987559375706854	1.0	1.0	0.9991291562994797
RASGRP3	0.762104991562962	0.102320056479607	7.44824639258141	9.45890448947508e-14	0.0	0.0	2	2.71966024620702e-11	2	2	0	1	0.0023750282741461207	0.0008745132030541	0.007412080113546759	0.0038861438259663117
EPB41L5	-0.568694333121516	0.0764050707096153	-7.44314909782484	9.8313018233995e-14	0.0	0.0	2	2.7596308165872497e-11	2	0	2	1	0.9986993892784438	1.0	1.0	0.9990895724949107
CPE	-0.60859356794856	0.0819198233326961	-7.42913672404926	1.09308715153965e-13	0.0	0.0	2	3.020336435598e-11	2	0	2	1	0.9986428409862023	1.0	1.0	0.9990499886903415
CNDP2	0.678351199613084	0.0914100626002893	7.42096854893673	1.16266926380497e-13	0.0	0.0	2	3.09162332559173e-11	2	2	0	1	0.0024881248586292692	0.000323449689646	0.0034169163644009884	0.0027667623103607847
PARP14	0.520549880707923	0.0701551104911685	7.41998518801353	1.17133432942007e-13	0.0	0.0	2	3.09162332559173e-11	2	2	0	1	0.0025446731508708435	0.0011916981583842	0.009987909372864427	0.004777644017468918
ZNF385A	0.680249168289253	0.0916657141225992	7.42097713196721	1.1625939108635e-13	0.0	0.0	2	3.09162332559173e-11	2	2	0	1	0.002431576566387695	0.0009362463320777	0.00783262366608842	0.004051890696297912
PRDM1	0.907656834517278	0.122419902948011	7.41429140735999	1.2227679481325e-13	0.0	0.0	2	3.1799159404081e-11	2	2	0	1	0.002601221443112418	0.0003545548239821	0.003942595805078063	0.0030036337517021115
TRIM25	0.382668968263417	0.0516264111165666	7.41227135466368	1.24154390594397e-13	0.0	0.0	2	3.1819510772048095e-11	2	2	0	1	0.0026577697353539925	0.000682739487239	0.006150449455921779	0.0037055736515243286
RAB9B	-0.649819149562044	0.0878498849489978	-7.39692658606558	1.39372550661566e-13	0.0	0.0	2	3.5209488369987596e-11	2	0	2	1	0.9985862926939606	1.0	1.0	0.9990104048857724
PAM	-0.530187642568536	0.0717359596530877	-7.3908210768003	1.45924872894811e-13	0.0	0.0	2	3.63455697503075e-11	2	0	2	1	0.998529744401719	1.0	1.0	0.9989708210812034
DOCK2	0.993024105548875	0.134817120646482	7.36571216464996	1.76203642624542e-13	0.0034596561068957	0.0896857942140023	2	4.3064571019093597e-11	2	2	0	1	0.0027143180275955667	0.0001115450514099	0.0012616306576249802	0.0022785118166043904
RASL12	-0.736228100126528	0.0999694573315547	-7.36453032534511	1.77771640148939e-13	0.0	0.0	2	4.3064571019093597e-11	2	0	2	1	0.9984731961094775	1.0	1.0	0.9989312372766341
LCP2	0.886239818299829	0.120644082297462	7.34590376438609	2.0437338812417e-13	0.0	0.0	2	4.82366334978092e-11	2	2	0	1	0.002770866319837141	0.0003321911793892	0.0034694843084686956	0.002980451716426607
STXBP2	0.572123588934722	0.0778847643537231	7.34577030157469	2.04577443583787e-13	0.0	0.0	2	4.82366334978092e-11	2	2	0	1	0.0028274146120787153	0.0003591149677981	0.003995163749145771	0.003177739353198832
MORC4	-0.455227786776881	0.0620744022013126	-7.33358309759534	2.2407943256341599e-13	0.0	0.0	2	5.213974586120339e-11	2	0	2	1	0.9984166478172359	1.0	1.0	0.9988916534720651
PRKCD	0.465490468667292	0.0635268857888681	7.32745612958822	2.34562416439542e-13	0.0	0.0	2	5.3870152887232e-11	2	2	0	1	0.0028839629043202896	0.0002714560371112	0.002996372811859328	0.0029176858765820007
PLXND1	0.656700896763061	0.0896851102056069	7.32229569944829	2.43764266352365e-13	0.0	0.0	2	5.526573443814379e-11	2	2	0	1	0.002940511196561864	0.0030427523189446	0.021368869263523105	0.008469018616650236
LILRB1	0.695273415981246	0.0950050385818203	7.31827939191311	2.51170508576265e-13	0.0	0.0	2	5.6224041438767895e-11	2	2	0	1	0.002997059488803438	0.0027315552840885	0.019923250801661147	0.008074916882660751
TOM1L1	-0.654954526780768	0.0896149592967043	-7.30854013571878	2.70060283215888e-13	0.0	0.0	2	5.9696825604872e-11	2	0	2	1	0.9983600995249944	1.0	1.0	0.9988520696674961
ENAH	-0.774564137171785	0.106006844696828	-7.3067370261513	2.73707479602121e-13	0.0	0.0	2	5.975608727511009e-11	2	0	2	1	0.9983035512327527	1.0	1.0	0.9988124858629268
PCDH11Y	-1.31683482059794	0.180267999181405	-7.30487289245829	2.77528970876478e-13	0.0	0.0	2	5.98514917192639e-11	2	0	2	1	0.9982470029405112	1.0	1.0	0.9987729020583578
CD4	0.836028948895904	0.115068198443401	7.26550828296078	3.71638156254314e-13	0.0	0.0	2	7.916196253754409e-11	2	2	0	1	0.0030536077810450124	0.0003432819445008	0.003784891972874941	0.003272993038593991
PTPRJ	0.72538746344901	0.0998616758474038	7.26392239358628	3.76023798527126e-13	0.0	0.0	2	7.916196253754409e-11	2	2	0	1	0.0031101560732865866	0.0003990526490621	0.004258003469484309	0.003454510292145903
FAM20A	0.88589361423614	0.12217713108694	7.25089553466227	4.14024930276072e-13	0.0009007523510171	0.0294304581474251	2	8.613666902355359e-11	2	2	0	1	0.003166704365528161	0.0009178709921801	0.007727487777953004	0.004534939389255614
MTUS2	-0.931542964418959	0.128659522898442	-7.24037322254239	4.47451681823064e-13	0.0	0.0	2	9.200855280650069e-11	2	0	2	1	0.9981904546482696	1.0	1.0	0.9987333182537887
DSC2	0.82011039321516	0.113330414296573	7.23645455904738	4.60565879955192e-13	0.0	0.0	2	9.361663242675409e-11	2	2	0	1	0.003223252657769735	0.0045038486220632	0.02770330652368186	0.010567268817543371
CCRL2	0.768087709587574	0.106352441415882	7.22209757822136	5.11917169009503e-13	0.0	0.0	2	1.02872082008682e-10	2	2	0	1	0.0032798009500113095	0.0023310639315062	0.017478841402512747	0.007539513085761741
FIBIN	-1.06939039732869	0.148308895858886	-7.21056138362868	5.572167066858229e-13	0.0	0.0	2	1.09486891567023e-10	2	0	2	1	0.9981339063560281	1.0	1.0	0.9986937344492195
JAML	0.808502741390807	0.112116657411994	7.21126333993182	5.54351277498545e-13	0.0	0.0	2	1.09486891567023e-10	2	2	0	1	0.003336349242252884	0.0036495756100518	0.02436524207538243	0.009645017092191748
NALCN	-0.794091502307686	0.110258395383125	-7.20209558236707	5.92941016898403e-13	0.0	0.0	2	1.15226032338806e-10	2	0	2	1	0.9980773580637865	1.0	1.0	0.9986541506446505
IL10RA	0.941439452040966	0.130812567409772	7.19685784540792	6.16159413424295e-13	0.0	0.0	2	1.18436555076035e-10	2	2	0	1	0.0033928975344944584	0.0003042074853489	0.0032592125321978657	0.0033527920338054804
SYK	0.912680536633728	0.126890528123385	7.1926608717891	6.35406305665997e-13	0.0	0.0	2	1.20822850638683e-10	2	2	0	1	0.0034494458267360327	0.0002855553316095	0.0031540766440624505	0.003360835071933958
MAN2B1	0.673955568043442	0.0938213062739175	7.18339569986143	6.80009170108059e-13	0.0	0.0	2	1.27928533661605e-10	2	2	0	1	0.003505994118977607	0.0006923842642556	0.006281869316091047	0.004338756678111639
FILIP1	-0.892128035465851	0.124277710233486	-7.17850396333964	7.04783481732513e-13	0.0	0.0	2	1.30356487262839e-10	2	0	2	1	0.998020809771545	1.0	1.0	0.9986145668400814
GPR65	0.777480078500578	0.108340499027339	7.17626451309209	7.16418838715365e-13	0.0	0.0	2	1.30356487262839e-10	2	2	0	1	0.0035625424112191812	0.002479031856846	0.018293644535562214	0.00798187304852209
NEGR1	-1.01483660632514	0.141488309608811	-7.17258273231881	7.35959112391134e-13	0.0	0.0	2	1.30356487262839e-10	2	0	2	1	0.9979077131870617	1.0	1.0	0.9985353992309431
PPP1R9A	-0.772100179001099	0.107609426713172	-7.17502362557044	7.22947004182488e-13	0.0	0.0	2	1.30356487262839e-10	2	0	2	1	0.9979642614793033	1.0	1.0	0.9985749830355122
SBSPON	-1.04944602806497	0.146313826033603	-7.17256910378344	7.36032405962129e-13	0.0	0.0	2	1.30356487262839e-10	2	0	2	1	0.9978511648948202	1.0	1.0	0.9984958154263741
STK39	-0.401678358425649	0.056003632135501	-7.17236263272687	7.37143673732405e-13	0.0	0.0	2	1.30356487262839e-10	2	0	2	1	0.9977946166025786	1.0	1.0	0.9984562316218051
TES	-0.600073965203237	0.0836872013944955	-7.17043891065888	7.47576997704218e-13	0.0	0.0	2	1.30892590370311e-10	2	0	2	1	0.9977380683103371	1.0	1.0	0.9984166478172358
TNFSF8	0.736715751194862	0.102806143348147	7.16606738859972	7.71827916827782e-13	0.0	0.0	2	1.33813773344926e-10	2	2	0	1	0.0036190907034607555	0.0006303196870792	0.005992745623718656	0.004331187179538126
PLA2G7	1.2254815563149	0.17104599556823	7.16463166672651	7.79959738208333e-13	0.0	0.0	2	1.33910757383264e-10	2	2	0	1	0.00367563899570233	0.0028656388098863	0.02050149818640593	0.00872339675291341
KLHL6	0.788602209921771	0.110158417033316	7.15880121700796	8.13855972776079e-13	0.0	0.0	2	1.38386817524733e-10	2	2	0	1	0.003732187287943904	0.0008114433545573	0.006938968616937391	0.00469422168664195
TBXAS1	0.724109789537304	0.101171489696397	7.15725143229842	8.231064984807819e-13	0.0	0.0	2	1.38626812563182e-10	2	2	0	1	0.0037887355801854783	0.0004161094809234	0.004415707301687431	0.003976827096636063
RASSF4	0.725839824486688	0.101462674092817	7.15376202112213	8.443138942627979e-13	0.0	0.0	2	1.40857046284371e-10	2	2	0	1	0.0038452838724270526	0.0009924650379883	0.008410871050833203	0.005214960025948897
MCAM	-0.800992444654509	0.112079676500613	-7.14663415940649	8.89314718121874e-13	0.0	0.0	2	1.4697795771277801e-10	2	0	2	1	0.9976815200180954	1.0	1.0	0.9983770640126668
PLCE1	-0.789517980827444	0.110721030112942	-7.1306957677515	9.98628289536405e-13	0.0	0.0	2	1.6351613585335002e-10	2	0	2	1	0.9976249717258538	1.0	1.0	0.9983374802080975
GPD1L	-0.517991424463183	0.0726836497162265	-7.12665677199121	1.02836097711099e-12	0.0	0.0	2	1.66839775405786e-10	2	0	2	1	0.9975684234336123	1.0	1.0	0.9982978964035285
GBGT1	0.443122211728934	0.0622023409497926	7.1238832005793	1.04927971558902e-12	0.0	0.0	2	1.67358094652019e-10	2	2	0	1	0.003901832164668627	0.0021427176081279	0.016112074856752354	0.0075649049722937445
SLC15A3	0.748249880462623	0.105036319199181	7.12372526158035	1.05048340343667e-12	0.0	0.0	2	1.67358094652019e-10	2	2	0	1	0.003958380456910202	0.0010778839619284	0.008962834463544131	0.00545971665890038
SYNM	-0.755790101860631	0.106199152414845	-7.11672442458199	1.10522150687363e-12	0.0	0.0	2	1.74506581496011e-10	2	0	2	1	0.9975118751413707	1.0	1.0	0.9982583125989595
LGALSL	-0.501247703568591	0.0704584842333247	-7.11408581979566	1.12657038990474e-12	0.0	0.0	2	1.76303281195357e-10	2	0	2	1	0.9974553268491292	1.0	1.0	0.9982187287943904
HCST	0.774368127916329	0.108988168832833	7.10506595540713	1.20265091823001e-12	0.0	0.0	2	1.86558586298065e-10	2	2	0	1	0.004014928749151775	0.0013331682430149	0.010881564422015455	0.0060749194510108795
APOL6	0.517016505891765	0.0727981812661942	7.10205250871914	1.2291750804262699e-12	0.0	0.0	2	1.87385621743605e-10	2	2	0	1	0.00407147704139335	0.0005511545705929	0.005414498238973874	0.004474383400667507
DIXDC1	-0.517646256239724	0.0728761998253159	-7.10309068640407	1.21997292920793e-12	0.0	0.0	2	1.87385621743605e-10	2	0	2	1	0.9973987785568876	1.0	1.0	0.9981791449898212
LPXN	0.753205742208522	0.106074048670766	7.10075415850614	1.24077923252274e-12	0.0	0.0	2	1.87496102466166e-10	2	2	0	1	0.004128025333634924	0.0003500238184652	0.003890027861010356	0.004056626091847554
RNF213	0.577320422808339	0.0813194992910072	7.09940946318865	1.25291091094976e-12	0.0	0.0	2	1.87496102466166e-10	2	2	0	1	0.004184573625876499	0.0010240655234098	0.008594858855070178	0.005507659194634602
SYNC	-0.881645065366595	0.124202608979737	-7.09844239673283	1.26170754317314e-12	0.0	0.0	2	1.87496102466166e-10	2	0	2	1	0.997342230264646	1.0	1.0	0.9981395611852522
PGR	-0.869445254742532	0.122610508527664	-7.09111531452755	1.33035430697478e-12	0.0	0.0	2	1.96049879704516e-10	2	0	2	1	0.9972856819724044	1.0	1.0	0.9980999773806831
TTLL7	-0.990829743145773	0.139755041100476	-7.08976030734677	1.34344479826918e-12	0.0	0.0	2	1.96342791839605e-10	2	0	2	1	0.9972291336801629	1.0	1.0	0.9980603935761139
FOLR2	0.80956097038767	0.114418586553086	7.07543236440929	1.4898351222909298e-12	0.0	0.0	2	2.159528221524e-10	2	2	0	1	0.0042411219181180725	0.0008673888889134	0.007359512169479052	0.005176638993526366
TRAF3IP3	0.563860100073716	0.0798027861823355	7.06566934624806	1.5984361881365298e-12	0.0	0.0	2	2.29810939439077e-10	2	2	0	1	0.004297670210359647	0.0027001041324502	0.019555275193187196	0.008874951705207912
TMOD1	-0.672530447595232	0.0952361497512441	-7.06171395370219	1.64461271644068e-12	0.0	0.0	2	2.34542994173686e-10	2	0	2	1	0.9971725853879213	1.0	1.0	0.9980208097715448
TBC1D2	0.572239733197457	0.0810811524344863	7.05761716522008	1.69381934695766e-12	0.0	0.0	2	2.39628010652794e-10	2	2	0	1	0.004354218502601221	0.0009215314910101	0.007780055722020712	0.0053819696684270675
PJA2	-0.309481769327669	0.0438771549630622	-7.05336910718585	1.74636785413949e-12	0.0	0.0	2	2.41271633848459e-10	2	0	2	1	0.9970029405111965	1.0	1.0	0.9979020583578375
SMTN	-0.858543324738197	0.121694935374864	-7.05488130704515	1.72748114146885e-12	0.0	0.0	2	2.41271633848459e-10	2	0	2	1	0.9971160370956798	1.0	1.0	0.9979812259669758
YAP1	-0.638379937297735	0.0904962043015793	-7.05421782299652	1.7357429656501998e-12	0.0	0.0	2	2.41271633848459e-10	2	0	2	1	0.9970594888034381	1.0	1.0	0.9979416421624066
PFN2	-0.679535130749302	0.0963669047607047	-7.05154048930701	1.7694772119852799e-12	0.0	0.0	2	2.42569263695719e-10	2	0	2	1	0.996946392218955	1.0	1.0	0.9978624745532685
LILRA6	0.528206969985635	0.0749870293418368	7.04397780018388	1.86827923669147e-12	0.0	0.0	2	2.54143461705015e-10	2	2	0	1	0.004410766794842796	0.001999910804024	0.015244703779635178	0.00766094789028051
TMSB10	0.542525544231305	0.0772318893454719	7.02463126085771	2.1463231779636297e-12	9.06514742301489e-05	0.0075249250415257	2	2.89737244878694e-10	2	2	0	1	0.0044673150870843704	0.0026191834334404	0.01897702780844241	0.008820228903491783
HSPA4L	-0.797640238985146	0.113729745337251	-7.01347072060918	2.3247763473588e-12	0.0	0.0	2	3.11449582777977e-10	2	0	2	1	0.9968898439267134	1.0	1.0	0.9978228907486995
