nctId,ctgov_url,endpoint_name_hint,primary_outcome_title,primary_outcome_timeframe,primary_outcome_desc,primary_outcome_pvalues,primary_outcome_has_analysis,primary_endpoint_met_ctgov,outcome_label_ctgov,ai_confidence_ctgov,notes_ctgov
NCT04992065,https://clinicaltrials.gov/study/NCT04992065,Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,"Baseline (week 0), week 12",Percentage change in LDL-cholesterol (LDL-C) (measured in milligrams per deciliter \[mg/dL\]) at week 12 is presented. Data is reported for the on-treatment period. The on-treatment period is the time period where participants were considered exposed to trial product. The observation period starts at the date of first dose of trial product and ends at the first date of any of the following: The follow-up visit or the last date on randomised treatment regimen + 58 days or the end-date for the 'in-trial' observation period. The in-trial period is defined as the uninterrupted time interval from date of randomisation to date of last contact with trial site.,"p=0.0001, p=0.0001, p=0.0001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001"
NCT04929249,https://clinicaltrials.gov/study/NCT04929249,Percent Change From Baseline in LDL-C,Percent Change From Baseline in LDL-C,"Baseline, Day 330","Percent change from baseline in Low-Density Lipoprotein Cholesterol (LDL-C) of an ""inclisiran first"" implementation strategy compared to usual care at Day 330.",p=0.001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001
NCT04270760,https://clinicaltrials.gov/study/NCT04270760,Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36,Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36,Baseline and Week 36,"Least squares mean is from the repeated measures linear effects model which includes treatment group, stratification factors, scheduled visit and the interaction of treatment group with scheduled visit.","p=0.001, p=0.001, p=0.001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001, p=0.001"
NCT02887859,https://clinicaltrials.gov/study/NCT02887859,"Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site","Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site",12 months,,,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT05563246,https://clinicaltrials.gov/study/NCT05563246,Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay,Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay,"Baseline, Week 12",Least Squares Mean (LS Mean) was calculated using a Mixed Model for Repeated Measures (MMRM): Log (Actual Measurement/Baseline) = Log (Baseline) + Country + Treatment + Time + Treatment\*Time.,"p=0.001, p=0.001, p=0.001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001, p=0.001"
NCT03018366,https://clinicaltrials.gov/study/NCT03018366,Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry,Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry,"Baseline, week 12 on trial","Change in PAT measured as reactive hyperemia index (RHI) from baseline to week 12 on treatment or placebo. Reactive hyperemia index (RHI) is the post-to-pre occlusion PAT signal ratio in the occluded arm, relative to the same ratio in the control arm, corrected for baseline vascular tone of the occluded arm calculated by taking the ratio of the pulse amplitude during the hyperemic phase (after a period of blood flow occlusion) to the baseline pulse amplitude. The values below \<1.67 are abnormal and suggest impaired endothelial function or endothelial dysfunction.",,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT04881110,https://clinicaltrials.gov/study/NCT04881110,Peripheral Transcutaneous Oxygen Pressure,Peripheral Transcutaneous Oxygen Pressure,6 months,Transcutaneous oxygen pressure (mmHg) on the lowest value recorded on anterior or posterior tibial artery after 6 months,"p=0.001, p=0.001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001"
NCT04610892,https://clinicaltrials.gov/study/NCT04610892,"Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging","Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging",From baseline to Day 253,To evaluate the effect of MEDI6570 on non-calcified coronary atherosclerotic plaques compared with placebo. The primary endpoint of change in NCPVMD from baseline to Day 253 was assessed based on the CTA Analysis Populations.,"p=0.065, p=0.563, p=0.685",1,N,NEGATIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.065, p=0.563, p=0.685"
NCT03743636,https://clinicaltrials.gov/study/NCT03743636,Six-minute Walk Distance (NR Alone vs. Placebo),Six-minute Walk Distance (NR Alone vs. Placebo),Baseline to 6-month follow-up,"Among participants with PAD, investigators will determine whether NR alone improves six-minute walk distance at 6-month follow-up, compared to placebo.",p=0.0775,1,N,NEGATIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0775
NCT03473223,https://clinicaltrials.gov/study/NCT03473223,"Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke)","Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke)",From the time of randomization through 90 days,"MACE (Major adverse cardiovascular event\[s\])(CV \[cardiovascular\] death, MI \[Myocardial Infarction\], or stroke).",p=0.121,1,N,NEGATIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.121
NCT03064126,https://clinicaltrials.gov/study/NCT03064126,Number of Participants With Primary Lesion Patency,Number of Participants With Primary Lesion Patency,12 months (RCT); 6 months (LB substudy),"RCT outcome measure: Primary patency of the target lesion is determined by Peak Systolic Velocity Ratio (PSVR) ≤ 2.4 (by duplex ultrasound (DUS)) and freedom from clinically-driven Target Lesion Revascularization (TLR) within 12 months from procedure. Lesion patency is defined as freedom from more than 50% stenosis based on DUS PSVR comparing data within the treated segment to the proximal normal arterial segment. PSVR \>2.4 suggests \>50% stenosis.

LB Substudy outcome measure: Primary patency of the target lesion is determined by duplex ultrasound (DUS) peak systolic velocity ratio (PSVR) ≤ 2.4 in absence of clinically-driven TLR. Primary effectiveness endpoint is assessed at 6 months post-procedure.

PK Substudy: There was no prespecified analysis of primary lesion patency.",p=0.0017,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0017
NCT05421078,https://clinicaltrials.gov/study/NCT05421078,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],8 Weeks,"Mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C was calculated using the Friedewald equation unless TG≥400 mg/dL or LDL-C ≤50 mg/dL; if TG ≥400 mg/dL or LDL-C ≤50 mg/dL, then LDL-C level was measured directly by preparative ultracentrifugation (PUC).","p=0.0001, p=0.0001, p=0.0001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001"
NCT02376010,https://clinicaltrials.gov/study/NCT02376010,Coronary Artery Calcium (Serial Calcium Scans),Coronary Artery Calcium (Serial Calcium Scans),1 year,serial calcium scans,,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT04807400,https://clinicaltrials.gov/study/NCT04807400,Percentage Change in LDL-C From Baseline to Day 270,Percentage Change in LDL-C From Baseline to Day 270,"Baseline, Day 270","Change in Low Density Lipoprotein Cholesterol (LDL-C) after 270 days of treatment in adults on established lipid lowering medication or who have been recommended lipid lowering therapy by their health care provider but are unable to tolerate treatment, regardless of treatment discontinuation for any reason and regardless of unforeseen change in the concomitant lipid lowering therapy.

Multiple imputation is used to impute missing data using a washout model.","p=0.001, p=0.001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001"
NCT03689946,https://clinicaltrials.gov/study/NCT03689946,Change in Noncalcified Coronary Artery Plaque Volume (NCPV),Change in Noncalcified Coronary Artery Plaque Volume (NCPV),baseline (pre-treatment) and 18 months after of treatment,Compare NCPV in mm\^3 measured on cardiac CT images as analyzed by quantitative software between the two assessments,,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT04753606,https://clinicaltrials.gov/study/NCT04753606,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],8-weeks,"Mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group.LDL-C was calculated using the Friedewald equation unless TG

≥400 mg/dL or LDL-C ≤50 mg/dL; if TG ≥400 mg/dL or LDL-C ≤50 mg/dL, then LDL-C level was measured directly by preparative ultracentrifugation (PUC),","p=0.0001, p=0.0001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001"
NCT05266586,https://clinicaltrials.gov/study/NCT05266586,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald],Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald],12-weeks,"Mean percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combination treatment group compared with the placebo group. LDL-C was calculated using the Friedewald equation unless TG

≥400 mg/dL or LDL-C ≤50 mg/dL; if TG ≥400 mg/dL or LDL-C ≤50 mg/dL, then LDL-C level was measured directly by preparative ultracentrifugation (PUC).",p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
NCT03551496,https://clinicaltrials.gov/study/NCT03551496,Number of Participants With Primary Patency,Number of Participants With Primary Patency,12 months,"Twelve-Month Primary Patency defined as a binary endpoint to be determined via duplex ultrasound (DUS) measuring flow at the 12-month follow-up visit, in the absence of clinically-driven target lesion revascularization (TLR) or bypass of the target lesion. Data table consists of the number of participants with flow as assessed by DUS.",,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT03363165,https://clinicaltrials.gov/study/NCT03363165,Six-minute Walk Distance,Six-minute Walk Distance,Change from baseline to six-month follow-up in six-minute walk distance,Participants walking up and down a 100 foot hallway for six minutes following a standardized protocol. The goal is for them to walk as far as possible in six minutes,p=0.7586,1,N,NEGATIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.7586
NCT00496834,https://clinicaltrials.gov/study/NCT00496834,Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug,Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug,Baseline and 24 Weeks,Analysis was performed in the modified intention to treat (mITT) population.,,1,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT05742841,https://clinicaltrials.gov/study/NCT05742841,Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30,Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30,Baseline and Day 30,A lipid panel is a common blood test that healthcare providers use to monitor and screen for risk of cardiovascular disease. The panel includes three measurements of your cholesterol levels and a measurement of your triglycerides.,,1,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT04770389,https://clinicaltrials.gov/study/NCT04770389,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald],Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald],8 weeks,Mean percent change in LDL-C from baseline to Day 57; LDL-C determined using the Friedewald formula,p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
