nctId,ctgov_url,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,primary_outcome_has_analysis,notes_ctgov,pubmed_pmids,notes_pubmed,primary_endpoint_met_ctgov,outcome_label_ctgov,ai_confidence_ctgov,primary_endpoint_met_pubmed,outcome_label_pubmed,ai_confidence_pubmed
NCT04992065,https://clinicaltrials.gov/study/NCT04992065,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,"Baseline (week 0), week 12","p=0.0001, p=0.0001, p=0.0001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,,Y,POSITIVE,MED,,,
NCT04929249,https://clinicaltrials.gov/study/NCT04929249,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline in LDL-C,"Baseline, Day 330",p=0.001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001,,,Y,POSITIVE,MED,,,
NCT04270760,https://clinicaltrials.gov/study/NCT04270760,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36,Baseline and Week 36,"p=0.001, p=0.001, p=0.001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001, p=0.001",,,Y,POSITIVE,MED,,,
NCT02887859,https://clinicaltrials.gov/study/NCT02887859,U,UNCLEAR,LOW,UNRESOLVED,"Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site",12 months,,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT05563246,https://clinicaltrials.gov/study/NCT05563246,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay,"Baseline, Week 12","p=0.001, p=0.001, p=0.001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001, p=0.001",,,Y,POSITIVE,MED,,,
NCT03018366,https://clinicaltrials.gov/study/NCT03018366,U,UNCLEAR,LOW,UNRESOLVED,Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry,"Baseline, week 12 on trial",,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,37610989,PubMed search by NCTId; pmids=37610989,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT04881110,https://clinicaltrials.gov/study/NCT04881110,Y,POSITIVE,MED,CTGOV_STRUCTURED,Peripheral Transcutaneous Oxygen Pressure,6 months,"p=0.001, p=0.001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001",,,Y,POSITIVE,MED,,,
NCT04610892,https://clinicaltrials.gov/study/NCT04610892,N,NEGATIVE,MED,CTGOV_STRUCTURED,"Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging",From baseline to Day 253,"p=0.065, p=0.563, p=0.685",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.065, p=0.563, p=0.685",,,N,NEGATIVE,MED,,,
NCT03743636,https://clinicaltrials.gov/study/NCT03743636,N,NEGATIVE,MED,CTGOV_STRUCTURED,Six-minute Walk Distance (NR Alone vs. Placebo),Baseline to 6-month follow-up,p=0.0775,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0775,,,N,NEGATIVE,MED,,,
NCT03473223,https://clinicaltrials.gov/study/NCT03473223,N,NEGATIVE,MED,CTGOV_STRUCTURED,"Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke)",From the time of randomization through 90 days,p=0.121,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.121,,,N,NEGATIVE,MED,,,
NCT03064126,https://clinicaltrials.gov/study/NCT03064126,Y,POSITIVE,MED,CTGOV_STRUCTURED,Number of Participants With Primary Lesion Patency,12 months (RCT); 6 months (LB substudy),p=0.0017,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0017,,,Y,POSITIVE,MED,,,
NCT05421078,https://clinicaltrials.gov/study/NCT05421078,Y,POSITIVE,MED,CTGOV_STRUCTURED,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],8 Weeks,"p=0.0001, p=0.0001, p=0.0001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,,Y,POSITIVE,MED,,,
NCT02376010,https://clinicaltrials.gov/study/NCT02376010,U,UNCLEAR,LOW,UNRESOLVED,Coronary Artery Calcium (Serial Calcium Scans),1 year,,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT04807400,https://clinicaltrials.gov/study/NCT04807400,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in LDL-C From Baseline to Day 270,"Baseline, Day 270","p=0.001, p=0.001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001, p=0.001",,,Y,POSITIVE,MED,,,
NCT03689946,https://clinicaltrials.gov/study/NCT03689946,U,UNCLEAR,LOW,UNRESOLVED,Change in Noncalcified Coronary Artery Plaque Volume (NCPV),baseline (pre-treatment) and 18 months after of treatment,,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,"40178463,39343355","PubMed search by NCTId; pmids=40178463,39343355",U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT04753606,https://clinicaltrials.gov/study/NCT04753606,Y,POSITIVE,MED,CTGOV_STRUCTURED,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],8-weeks,"p=0.0001, p=0.0001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001",,,Y,POSITIVE,MED,,,
NCT05266586,https://clinicaltrials.gov/study/NCT05266586,Y,POSITIVE,MED,CTGOV_STRUCTURED,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald],12-weeks,p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
NCT03551496,https://clinicaltrials.gov/study/NCT03551496,U,UNCLEAR,LOW,UNRESOLVED,Number of Participants With Primary Patency,12 months,,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,37844137,PubMed search by NCTId; pmids=37844137,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT03363165,https://clinicaltrials.gov/study/NCT03363165,N,NEGATIVE,MED,CTGOV_STRUCTURED,Six-minute Walk Distance,Change from baseline to six-month follow-up in six-minute walk distance,p=0.7586,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.7586,,,N,NEGATIVE,MED,,,
NCT00496834,https://clinicaltrials.gov/study/NCT00496834,U,UNCLEAR,LOW,UNRESOLVED,Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug,Baseline and 24 Weeks,,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT05742841,https://clinicaltrials.gov/study/NCT05742841,U,UNCLEAR,LOW,UNRESOLVED,Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30,Baseline and Day 30,,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT04770389,https://clinicaltrials.gov/study/NCT04770389,Y,POSITIVE,MED,CTGOV_STRUCTURED,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald],8 weeks,p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
