nctId,ctgov_url,primary_endpoint_met,outcome_label_human,failure_reason_human,endpoint_name,p_value_or_CI,notes,ai_confidence,has_resultsSection
NCT04992065,https://clinicaltrials.gov/study/NCT04992065,U,UNCLEAR,UNCLEAR,Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04929249,https://clinicaltrials.gov/study/NCT04929249,U,UNCLEAR,UNCLEAR,Percent Change From Baseline in LDL-C,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percent Change From Baseline in LDL-C'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04270760,https://clinicaltrials.gov/study/NCT04270760,U,UNCLEAR,UNCLEAR,Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT02887859,https://clinicaltrials.gov/study/NCT02887859,U,UNCLEAR,UNCLEAR,"Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site",,"Auto-extracted from CT.gov results/outcomes text. endpoint='Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05563246,https://clinicaltrials.gov/study/NCT05563246,U,UNCLEAR,UNCLEAR,Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03018366,https://clinicaltrials.gov/study/NCT03018366,U,UNCLEAR,UNCLEAR,Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04881110,https://clinicaltrials.gov/study/NCT04881110,U,UNCLEAR,UNCLEAR,Peripheral Transcutaneous Oxygen Pressure,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Peripheral Transcutaneous Oxygen Pressure'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04610892,https://clinicaltrials.gov/study/NCT04610892,U,UNCLEAR,UNCLEAR,"Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging",,"Auto-extracted from CT.gov results/outcomes text. endpoint='Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03743636,https://clinicaltrials.gov/study/NCT03743636,U,UNCLEAR,UNCLEAR,Six-minute Walk Distance (NR Alone vs. Placebo),,"Auto-extracted from CT.gov results/outcomes text. endpoint='Six-minute Walk Distance (NR Alone vs. Placebo)'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03473223,https://clinicaltrials.gov/study/NCT03473223,U,UNCLEAR,UNCLEAR,"Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke)",,"Auto-extracted from CT.gov results/outcomes text. endpoint='Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke)'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03064126,https://clinicaltrials.gov/study/NCT03064126,U,UNCLEAR,UNCLEAR,Number of Participants With Primary Lesion Patency,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Number of Participants With Primary Lesion Patency'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05421078,https://clinicaltrials.gov/study/NCT05421078,U,UNCLEAR,UNCLEAR,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],,"Auto-extracted from CT.gov results/outcomes text. endpoint='Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald]'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT02376010,https://clinicaltrials.gov/study/NCT02376010,U,UNCLEAR,UNCLEAR,Coronary Artery Calcium (Serial Calcium Scans),,"Auto-extracted from CT.gov results/outcomes text. endpoint='Coronary Artery Calcium (Serial Calcium Scans)'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04807400,https://clinicaltrials.gov/study/NCT04807400,U,UNCLEAR,UNCLEAR,Percentage Change in LDL-C From Baseline to Day 270,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percentage Change in LDL-C From Baseline to Day 270'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03689946,https://clinicaltrials.gov/study/NCT03689946,U,UNCLEAR,UNCLEAR,Change in Noncalcified Coronary Artery Plaque Volume (NCPV),,"Auto-extracted from CT.gov results/outcomes text. endpoint='Change in Noncalcified Coronary Artery Plaque Volume (NCPV)'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04753606,https://clinicaltrials.gov/study/NCT04753606,U,UNCLEAR,UNCLEAR,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald],,"Auto-extracted from CT.gov results/outcomes text. endpoint='Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald]'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05266586,https://clinicaltrials.gov/study/NCT05266586,U,UNCLEAR,UNCLEAR,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald],,"Auto-extracted from CT.gov results/outcomes text. endpoint='Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald]'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03551496,https://clinicaltrials.gov/study/NCT03551496,U,UNCLEAR,UNCLEAR,Number of Participants With Primary Patency,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Number of Participants With Primary Patency'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT03363165,https://clinicaltrials.gov/study/NCT03363165,U,UNCLEAR,UNCLEAR,Six-minute Walk Distance,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Six-minute Walk Distance'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT00496834,https://clinicaltrials.gov/study/NCT00496834,U,UNCLEAR,UNCLEAR,Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05742841,https://clinicaltrials.gov/study/NCT05742841,U,UNCLEAR,UNCLEAR,Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04770389,https://clinicaltrials.gov/study/NCT04770389,U,UNCLEAR,UNCLEAR,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald],,"Auto-extracted from CT.gov results/outcomes text. endpoint='Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald]'. signals: pem=U, label=UNCLEAR.",LOW,1
