nctId,briefTitle,overallStatus,phase,studyType,leadSponsor,conditions,drug_raw,drug_normalized,intervention_type,arm_label,arm_type,role,is_candidate_drug,is_combo,outcome_label_mvp,outcome_confidence_mvp,has_resultsSection,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,notes_ctgov,pubmed_pmids,notes_pubmed
NCT04068909,ObseRvation After Acute Coronary Syndrome for deveLopment of trEatment Options,COMPLETED,,OBSERVATIONAL,Central State Medical Academy,Acute Coronary Syndrome,"Dmitry A Zateyshchikov, prof",dmitry a zateyshchikov prof,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04560998,A Research Study to Compare a Medicine Called Semaglutide Against Placebo in People With Peripheral Arterial Disease and Type 2 Diabetes,COMPLETED,PHASE3,INTERVENTIONAL,Novo Nordisk A/S,"Diabetes Mellitus, Type 2 | Peripheral Arterial Disease",Semaglutide,semaglutide,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Change in Maximum Walking Distance on a Constant Load Treadmill Test,"Baseline (week 0), end of treatment (week 52)",p=0.0004,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0004,,
NCT04560998,A Research Study to Compare a Medicine Called Semaglutide Against Placebo in People With Peripheral Arterial Disease and Type 2 Diabetes,COMPLETED,PHASE3,INTERVENTIONAL,Novo Nordisk A/S,"Diabetes Mellitus, Type 2 | Peripheral Arterial Disease",Placebo (semaglutide),placebo semaglutide,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Change in Maximum Walking Distance on a Constant Load Treadmill Test,"Baseline (week 0), end of treatment (week 52)",p=0.0004,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0004,,
NCT04471792,Creatine Use and Muscle Stretching in Peripheral Artery Disease,COMPLETED,PHASE2,INTERVENTIONAL,Florida State University,Peripheral Arterial Disease,Creatine monohydrate,creatine monohydrate,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,N,NEGATIVE,MED,CTGOV_STRUCTURED,Walking Distance,Baseline and after 4 weeks of intervention,p=0.38,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.38,,
NCT02505399,TIcagrelor in Rotational Atherectomy to Reduce TROPonin Enhancement,COMPLETED,PHASE4,INTERVENTIONAL,"University Hospital, Toulouse",Atherosclerosis,ticagrelor,ticagrelor,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT02505399,TIcagrelor in Rotational Atherectomy to Reduce TROPonin Enhancement,COMPLETED,PHASE4,INTERVENTIONAL,"University Hospital, Toulouse",Atherosclerosis,clopidogrel,clopidogrel,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT00001204,Cardiovascular Evaluation of Patients With High Cholesterol and Normal Volunteers,COMPLETED,,OBSERVATIONAL,"National Heart, Lung, and Blood Institute (NHLBI)",Homozygous Familial Hypercholesterolemic,"Robert D Shamburek, M.D.",robert d shamburek m.d.,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT06675175,"A Phase 1b Study to Assess the Safety, Tolerability, and Pharmacodynamics of AZD4144 in Participants With Established Atherosclerotic Cardiovascular and Chronic Kidney Disease.",COMPLETED,PHASE1,INTERVENTIONAL,AstraZeneca,Chronic Kidney Disease | Atherosclerotic Cardiovascular Disease,AZD4144,azd4144,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05988684,Effect of Metformin on Carotid Atherosclerosis for Non-diabetic Patients With PsA (CAMPA Study),COMPLETED,PHASE4,INTERVENTIONAL,Chinese University of Hong Kong,PsA (Psoriatic Arthritis),Metformin,metformin,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT06508437,Effect of Influenza Vaccination on Global Systemic Inflammatory Markers in Patients With Stable Coronary Artery Disease,COMPLETED,PHASE4,INTERVENTIONAL,"University Hospital, Tours",Coronary Artery Disease | Inflammatory Response | Atherosclerosis,Influenza Vaccination,influenza vaccination,BIOLOGICAL,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05708547,Role of Mitophagy in Myeloid Cells During Coronary Atherosclerosis.,COMPLETED,,OBSERVATIONAL,Centre Hospitalier Universitaire Dijon,Coronary Atherosclerosis,Blood samples,blood samples,BIOLOGICAL,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT02117453,"Multicenter, Prospective, Randomized, Controlled, Double-blind Trial on the Impact of Rosuvastatin on Subclinical Markers of Atherosclerosis in Patients With Primary Necrotizing Vasculitides",COMPLETED,PHASE3,INTERVENTIONAL,Assistance Publique - Hôpitaux de Paris,ANCA-associated Primary Necrotizing Vasculitides,Rosuvastatin,rosuvastatin,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT02110303,DIAMOND - Dual Antiplatelet Therapy to Reduce Myocardial Injury,COMPLETED,"PHASE2,PHASE3",INTERVENTIONAL,University of Edinburgh,Coronary Artery Disease,Ticagrelor,ticagrelor,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04626973,Effects of Ezetimibe Combination Therapy for Patients With Atherosclerotic Cardiovascular Disease; Randomized Comparison of LDL-cholesterol Targeting <70 Versus <55mg/dL; Ez-PAVE Trial,COMPLETED,,INTERVENTIONAL,Yonsei University,Atherosclerotic Cardiovascular Disease,Ezetimibe/Statin Combination therarpy (ezetimibe plus rosuvastatin),ezetimibe statin combination therarpy ezetimibe plus rosuvastatin,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04626973,Effects of Ezetimibe Combination Therapy for Patients With Atherosclerotic Cardiovascular Disease; Randomized Comparison of LDL-cholesterol Targeting <70 Versus <55mg/dL; Ez-PAVE Trial,COMPLETED,,INTERVENTIONAL,Yonsei University,Atherosclerotic Cardiovascular Disease,Statin monotherapy (rosuvastatin or atorvastatin),statin monotherapy rosuvastatin or atorvastatin,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04626973,Effects of Ezetimibe Combination Therapy for Patients With Atherosclerotic Cardiovascular Disease; Randomized Comparison of LDL-cholesterol Targeting <70 Versus <55mg/dL; Ez-PAVE Trial,COMPLETED,,INTERVENTIONAL,Yonsei University,Atherosclerotic Cardiovascular Disease,Ezetimibe/Statin Combination therarpy (ezetimibe plus rosuvastatin),ezetimibe statin combination therarpy ezetimibe plus rosuvastatin,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04626973,Effects of Ezetimibe Combination Therapy for Patients With Atherosclerotic Cardiovascular Disease; Randomized Comparison of LDL-cholesterol Targeting <70 Versus <55mg/dL; Ez-PAVE Trial,COMPLETED,,INTERVENTIONAL,Yonsei University,Atherosclerotic Cardiovascular Disease,Statin monotherapy (rosuvastatin or atorvastatin),statin monotherapy rosuvastatin or atorvastatin,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07203677,Comparative Effectiveness of Tirzepatide Versus Sitagliptin in Individuals at Cardiovascular Risk (TIRZSITA-CVOT),COMPLETED,,OBSERVATIONAL,Brigham and Women's Hospital,Type2 Diabetes Mellitus | Atherosclerotic Cardiovascular Disease,Initiation of tirzepatide,initiation of tirzepatide,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07203677,Comparative Effectiveness of Tirzepatide Versus Sitagliptin in Individuals at Cardiovascular Risk (TIRZSITA-CVOT),COMPLETED,,OBSERVATIONAL,Brigham and Women's Hospital,Type2 Diabetes Mellitus | Atherosclerotic Cardiovascular Disease,Initiation of sitagliptin,initiation of sitagliptin,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT01180361,Atherosclerosis in Rheumatoid Arthritis and Lupus: Restoring Cholesterol Balance,COMPLETED,,OBSERVATIONAL,NYU Langone Health,Rheumatoid Arthritis,"Allison B Reiss, MD",allison b reiss md,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT01419080,Patient-centered Outcomes Related to TReatment Practices in Peripheral Arterial Disease: Investigating Trajectories (PORTRAIT),COMPLETED,,OBSERVATIONAL,Saint Luke's Health System,Peripheral Arterial Disease | Quality of Life | Quality of Care,"Kim Smolderen, PhD",kim smolderen phd,UNKNOWN,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT01419080,Patient-centered Outcomes Related to TReatment Practices in Peripheral Arterial Disease: Investigating Trajectories (PORTRAIT),COMPLETED,,OBSERVATIONAL,Saint Luke's Health System,Peripheral Arterial Disease | Quality of Life | Quality of Care,"John A Spertus, MD, MPH",john a spertus md mph,UNKNOWN,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT04873934,Management of LDL-cholesterol With Inclisiran + Usual Care Compared to Usual Care Alone in Participants With a Recent Acute Coronary Syndrome,COMPLETED,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Acute Coronary Syndrome,Inclisiran,inclisiran,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline to Day 330 in LDL-C,Baseline and Day 330,p=0.001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001,,
NCT06005597,Study of Obicetrapib & Ezetimibe Fixed Dose Combination on Top of Maximum Tolerated Lipid-Modifying Therapies,COMPLETED,PHASE3,INTERVENTIONAL,NewAmsterdam Pharma,Dyslipidemias | Hypercholesterolemia | Familial Hypercholesterolemia | ASCVD | High Cholesterol,Monotherapy obicetrapib,monotherapy obicetrapib,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,84 Days,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT06005597,Study of Obicetrapib & Ezetimibe Fixed Dose Combination on Top of Maximum Tolerated Lipid-Modifying Therapies,COMPLETED,PHASE3,INTERVENTIONAL,NewAmsterdam Pharma,Dyslipidemias | Hypercholesterolemia | Familial Hypercholesterolemia | ASCVD | High Cholesterol,Monotherapy ezetimibe,monotherapy ezetimibe,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,84 Days,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT06942923,"A Study to Investigate the Safety, Tolerability and Pharmacodynamics of AZD4144 in Participants With Obesity",COMPLETED,PHASE1,INTERVENTIONAL,AstraZeneca,Healthy Participants,AZD4144,azd4144,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT00696124,Safety Study of Gene Therapy in Treating Critical Leg Ischemia,COMPLETED,PHASE1,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,VM202 2 mg,vm202 2 mg,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT00696124,Safety Study of Gene Therapy in Treating Critical Leg Ischemia,COMPLETED,PHASE1,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,VM202 4 mg,vm202 4 mg,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT00696124,Safety Study of Gene Therapy in Treating Critical Leg Ischemia,COMPLETED,PHASE1,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,VM202 8 mg,vm202 8 mg,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT00696124,Safety Study of Gene Therapy in Treating Critical Leg Ischemia,COMPLETED,PHASE1,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,VM202 16 mg,vm202 16 mg,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT01064440,Safety and Efficacy Study Using Gene Therapy for Critical Limb Ischemia,COMPLETED,PHASE2,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,Low Dose VM202,low dose vm202,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,U,UNCLEAR,LOW,UNRESOLVED,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,"Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365",,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=
NCT01064440,Safety and Efficacy Study Using Gene Therapy for Critical Limb Ischemia,COMPLETED,PHASE2,INTERVENTIONAL,"Helixmith Co., Ltd.",Critical Limb Ischemia,High Dose VM202,high dose vm202,BIOLOGICAL,,,OTHER,1,1,UNCLEAR,LOW,1,U,UNCLEAR,LOW,UNRESOLVED,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,"Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365",,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=
NCT07196280,Protective Effect of 5-Alpha Reductase Inhibitors on Atherosclerotic Cardiovascular Disease in Populations With BPH: Evidence From UK Biobank Cohort and Chinese Single Center Database Studies,COMPLETED,,OBSERVATIONAL,Chinese PLA General Hospital,Atherosclerotic Cardiovascular Disease (ASCVD) | Benign Prostatic Hypertrophy (BPH),5-Alpha Reductase Inhibitors,5-alpha reductase inhibitors,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT02685098,A Clinical and Histological Analysis of Mesenchymal Stem Cells in Amputation,COMPLETED,PHASE1,INTERVENTIONAL,Indiana University,Ischemia | Peripheral Arterial Disease | Peripheral Vascular Disease | Vascular Disease | Arterial Occlusive Disease | Arteriosclerosis | Atherosclerosis | Cardiovascular Disease | Pathologic Processes | Orthopedic Procedures,Allogeneic bone marrow derived mesenchymal stem cells,allogeneic bone marrow derived mesenchymal stem cells,BIOLOGICAL,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05142722,Randomized Study to Evaluate the Effect of Obicetrapib on Top of Maximum Tolerated Lipid-Modifying Therapies,COMPLETED,PHASE3,INTERVENTIONAL,NewAmsterdam Pharma,Dyslipidemias | High Cholesterol | Hypercholesterolemia | Familial Hypercholesterolemia | Atherosclerotic Cardiovascular Disease,Obicetrapib,obicetrapib,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],84 Days,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT03084523,Treatment Targets for Inflamed Intracranial Atherosclerosis on Vessel Wall MRI,COMPLETED,PHASE1,INTERVENTIONAL,Yale University,Stroke | Intracranial Atherosclerosis,Ferumoxytol Injectable Product,ferumoxytol injectable product,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07169682,Effects of IL17/23 Inhibitors on Markers of Subclinical Atherosclerosis in Patients With Psoriasis,COMPLETED,,OBSERVATIONAL,National and Kapodistrian University of Athens,Psoriasis | Cardiovascular Disease | Atherosclerosis,interleukin 17 inhibitor,interleukin 17 inhibitor,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07169682,Effects of IL17/23 Inhibitors on Markers of Subclinical Atherosclerosis in Patients With Psoriasis,COMPLETED,,OBSERVATIONAL,National and Kapodistrian University of Athens,Psoriasis | Cardiovascular Disease | Atherosclerosis,interleukin-23 inhibitor,interleukin-23 inhibitor,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07169682,Effects of IL17/23 Inhibitors on Markers of Subclinical Atherosclerosis in Patients With Psoriasis,COMPLETED,,OBSERVATIONAL,National and Kapodistrian University of Athens,Psoriasis | Cardiovascular Disease | Atherosclerosis,conventional systemic agent or apremilast,conventional systemic agent or apremilast,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT01447745,Abdominal Fat and Imaging Measurements of Heart Disease,COMPLETED,,OBSERVATIONAL,Laval University,Visceral Obesity | Atherosclerosis | Metabolic Syndrome,"DESPRÉS Jean-Pierre, PhD",després jean-pierre phd,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05761444,Effectiveness and Safety Study of Early add-on of Ezetimibe With Atorvastatin in Very High-risk Patients,COMPLETED,PHASE4,INTERVENTIONAL,Organon and Co,Atherosclerotic Cardiovascular Disease,Atozet 10/40 mg or 10/80 mg,atozet 10 40 mg or 10 80 mg,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Baseline (Day 1) and Week 6,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT05761444,Effectiveness and Safety Study of Early add-on of Ezetimibe With Atorvastatin in Very High-risk Patients,COMPLETED,PHASE4,INTERVENTIONAL,Organon and Co,Atherosclerotic Cardiovascular Disease,Lipitor 40 mg or 80 mg,lipitor 40 mg or 80 mg,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Baseline (Day 1) and Week 6,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT03900026,Effect of Evolocumab on Saphenous Vein Graft Patency Following Coronary Artery Bypass Surgery,COMPLETED,PHASE4,INTERVENTIONAL,Unity Health Toronto,Coronary Artery Bypass Graft Surgery | Atherosclerosis | Vein Occlusion,Evolocumab,evolocumab,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05635370,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM)- Pentoxifylline Versus Cilostazol,COMPLETED,,OBSERVATIONAL,Brigham and Women's Hospital,Peripheral Artery Disease,Pentoxifylline,pentoxifylline,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT05635370,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM)- Pentoxifylline Versus Cilostazol,COMPLETED,,OBSERVATIONAL,Brigham and Women's Hospital,Peripheral Artery Disease,Cilostazol,cilostazol,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,,,,,,,,,,
NCT06644651,Fat Around Heart Arteries as a Measure of Inflammation in Patients With Diabetes,COMPLETED,,OBSERVATIONAL,Odense University Hospital,"Atherosclerosis, Coronary | Diabetes Mellitus | Diabetes Mellitus Type 2 | Inflammation | Inflammation Plaque, Atherosclerotic | Perivascular Disease","Kenneth Egstrup, Professor",kenneth egstrup professor,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT02807779,Intima Versus Adventitia Drug Delivery to Elucidate Mechanisms of Restenosis: Magnetic Resonance Imaging,COMPLETED,PHASE4,INTERVENTIONAL,"University of California, San Francisco",Peripheral Artery Disease | Vascular Disease | Critical Limb Ischemia,Dexamethasone infusion,dexamethasone infusion,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,N,NEGATIVE,MED,CTGOV_STRUCTURED,Change in Percent Wall Volume (PWV),From Post-Operative Day One to 12 Months,p=0.22,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.22,,
NCT04382443,Oral Colchicine in Argentina to Prevent Restenosis,COMPLETED,PHASE4,INTERVENTIONAL,Centro de estudios en Cardiologia Intervencionista,Coronary Artery Disease | Restenosis of Coronary Artery Stent | Atherosclerosis | Acute Coronary Syndrome,Colchicine,colchicine,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05610280,"A Study of Olezarsen (ISIS 678354) in Participants With Hypertriglyceridemia and Atherosclerotic Cardiovascular Disease, or With Severe Hypertriglyceridemia",COMPLETED,PHASE3,INTERVENTIONAL,"Ionis Pharmaceuticals, Inc.",Hypertriglyceridemia | Cardiovascular Diseases | Atherosclerosis,Olezarsen,olezarsen,DRUG,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04191746,BEST vCLI Registry,COMPLETED,,OBSERVATIONAL,Duke University,Critical Limb Ischemia,"Manesh Patel, MD",manesh patel md,UNKNOWN,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04191746,BEST vCLI Registry,COMPLETED,,OBSERVATIONAL,Duke University,Critical Limb Ischemia,"Sreekanth Vemulapalli, MD",sreekanth vemulapalli md,UNKNOWN,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05537571,Evaluate SLN360 in Participants With Elevated Lipoprotein(a) at High Risk of Atherosclerotic Cardiovascular Disease Events,COMPLETED,PHASE2,INTERVENTIONAL,Silence Therapeutics plc,Cardiovascular Diseases | Atherosclerosis | Lipoprotein(a),SLN360,sln360,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,Week 36,"p=0.0001, p=0.0001, p=0.0001","Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,
NCT04061018,"The Genetic, Protein, and Lipid Basis of Variation in Cholesterol Efflux",COMPLETED,,OBSERVATIONAL,University of Texas Southwestern Medical Center,Lipid Metabolism Disorders,"Anand Rohatgi, MD",anand rohatgi md,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT07023445,Patterns of Inclisiran Use in the Real World: An Analysis of US Databases,COMPLETED,,OBSERVATIONAL,Novartis Pharmaceuticals,Atherosclerotic Cardiovascular Disease | Familial Hypercholesterolemia,Novartis Pharmaceuticals,novartis pharmaceuticals,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
