nctId,briefTitle,overallStatus,phases,studyType,has_resultsSection,mvp_outcome_label,mvp_outcome_confidence,pass_interventional,pass_phase23,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,notes_ctgov,pubmed_pmids,notes_pubmed
NCT02505399,TIcagrelor in Rotational Atherectomy to Reduce TROPonin Enhancement,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT06589791,A Disease Area Study on the Awareness and Perceptions of Systemic Inflammation and hsCRP as a biomARKer in Patients With ASCVD and CKD in China Among Cardiologists and Nephrologists,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05362903,A Non-interventional Implementation Study to Evaluate Treatment With Inclisiran (Leqvio®) and Other Lipid Lowering Treatments in a Real-world Setting,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT06897566,Barriers to Optimal LDL-C Targets in Patients With Atherosclerotic Cardiovascular Disease,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT07262203,Effect of Diabetic Foot Exercises on Peripheral Vascular Status in Type 2 Diabetes Mellitus Patients,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT00001204,Cardiovascular Evaluation of Patients With High Cholesterol and Normal Volunteers,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT07250776,"Effects of Body Awareness Therapy on Functional Capacity, With Peripheral Artery Disease",COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06675175,"A Phase 1b Study to Assess the Safety, Tolerability, and Pharmacodynamics of AZD4144 in Participants With Established Atherosclerotic Cardiovascular and Chronic Kidney Disease.",COMPLETED,PHASE1,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05988684,Effect of Metformin on Carotid Atherosclerosis for Non-diabetic Patients With PsA (CAMPA Study),COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT06508437,Effect of Influenza Vaccination on Global Systemic Inflammatory Markers in Patients With Stable Coronary Artery Disease,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT05708547,Role of Mitophagy in Myeloid Cells During Coronary Atherosclerosis.,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT02117453,"Multicenter, Prospective, Randomized, Controlled, Double-blind Trial on the Impact of Rosuvastatin on Subclinical Markers of Atherosclerosis in Patients With Primary Necrotizing Vasculitides",COMPLETED,PHASE3,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT02375893,Bile Acids and Gut Microbiota as Potent Coronary Atheroma Risk Factors: a Prospective Study in Human,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT02110303,DIAMOND - Dual Antiplatelet Therapy to Reduce Myocardial Injury,COMPLETED,"PHASE2,PHASE3",INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT04626973,Effects of Ezetimibe Combination Therapy for Patients With Atherosclerotic Cardiovascular Disease; Randomized Comparison of LDL-cholesterol Targeting <70 Versus <55mg/dL; Ez-PAVE Trial,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT02425345,Women's Health Initiative Strong and Healthy Study,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05103280,Improving Walking in Peripheral Artery Disease,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT07203677,Comparative Effectiveness of Tirzepatide Versus Sitagliptin in Individuals at Cardiovascular Risk (TIRZSITA-CVOT),COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT01180361,Atherosclerosis in Rheumatoid Arthritis and Lupus: Restoring Cholesterol Balance,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT03128424,TORUS I Clinical Study,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT02944071,Ranger™ and Ranger™ SL (OTW) DCB) in China,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT05378529,A Cross-sectional Study of Lipoprotein(a) Levels in Patients With Documented History of Atherosclerotic Cardiovascular Disease (ASCVD),COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05529472,Safety and Effectiveness Evaluation of Peripheral Orbital Atherectomy,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT01419080,Patient-centered Outcomes Related to TReatment Practices in Peripheral Arterial Disease: Investigating Trajectories (PORTRAIT),COMPLETED,,OBSERVATIONAL,1,UNCLEAR,LOW,0,0,,,,,,,,,,
NCT04337554,Exoskeleton Footwear to Improve Walking,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT04873934,Management of LDL-cholesterol With Inclisiran + Usual Care Compared to Usual Care Alone in Participants With a Recent Acute Coronary Syndrome,COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline to Day 330 in LDL-C,Baseline and Day 330,p=0.001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001,,
NCT06005597,Study of Obicetrapib & Ezetimibe Fixed Dose Combination on Top of Maximum Tolerated Lipid-Modifying Therapies,COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,84 Days,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT06942923,"A Study to Investigate the Safety, Tolerability and Pharmacodynamics of AZD4144 in Participants With Obesity",COMPLETED,PHASE1,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT03204825,Pain Management and Patient Education for Physical Activity in Intermittent Claudication (PrEPAID),COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT00696124,Safety Study of Gene Therapy in Treating Critical Leg Ischemia,COMPLETED,PHASE1,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT01064440,Safety and Efficacy Study Using Gene Therapy for Critical Limb Ischemia,COMPLETED,PHASE2,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,U,UNCLEAR,LOW,UNRESOLVED,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,"Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365",,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=
NCT07200804,Relationship Between Serum Vitamin D and Atherosclerosis in Hemodialysis Patients,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT07196280,Protective Effect of 5-Alpha Reductase Inhibitors on Atherosclerotic Cardiovascular Disease in Populations With BPH: Evidence From UK Biobank Cohort and Chinese Single Center Database Studies,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT02685098,A Clinical and Histological Analysis of Mesenchymal Stem Cells in Amputation,COMPLETED,PHASE1,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04152291,The Effect of E-EPA on Circulating LDL and Plasma Lipid Metabolism,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT05142722,Randomized Study to Evaluate the Effect of Obicetrapib on Top of Maximum Tolerated Lipid-Modifying Therapies,COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],84 Days,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT07172308,High Risk Atherosclerosis Identified at Cardiac CT Among Patients With vs Without Family History of CAD,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT03084523,Treatment Targets for Inflamed Intracranial Atherosclerosis on Vessel Wall MRI,COMPLETED,PHASE1,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT07169682,Effects of IL17/23 Inhibitors on Markers of Subclinical Atherosclerosis in Patients With Psoriasis,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT01447745,Abdominal Fat and Imaging Measurements of Heart Disease,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05873452,Kaitoh Atherectomy FIH,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05761444,Effectiveness and Safety Study of Early add-on of Ezetimibe With Atorvastatin in Very High-risk Patients,COMPLETED,PHASE4,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Baseline (Day 1) and Week 6,p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT06497478,Evolutionary Aspects of Polydistrict Atherosclerosis,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05358353,A Prospective Single-Arm Multicenter StuDy of the BarE TEmporary SPur StEnt System foR the tREatment of Vascular Lesions Located in the infrapoplitEal Arteries beLow the Knee (DEEPER REVEAL),COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT06065345,BRight Pharmacokinetic Study,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04440839,Implementation of Telemedicine for Patient With Lower Extremity Wounds,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT05009602,Diagnostic Tools to Establish the Presence and Severity of Peripheral Arterial Disease in People With Diabetes,COMPLETED,,OBSERVATIONAL,1,UNCLEAR,LOW,0,0,,,,,,,,,,
NCT03900026,Effect of Evolocumab on Saphenous Vein Graft Patency Following Coronary Artery Bypass Surgery,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT07136883,DCB Outcomes After Plain or Scoring Balloon for Vessel Preparation in Patients With Femoropopliteal Arterial Disease,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06827171,Impact of LLL and Aerobic Exercise on Peripheral Arterial Outcomes in Patients With Type 2 Diabetes,COMPLETED,PHASE2,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT05335161,A New Heat Therapy Device for Home-based Leg Heating in Patients With Lower-extremity Peripheral Artery Disease,COMPLETED,PHASE1,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT04222751,Static Muscular Stretching for Treatment of PAD,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06181799,Volatilome and Single-Lead Electrocardiogram Optimize Ischemic Heart Disease Diagnosis Using Machine Learning Models,COMPLETED,,OBSERVATIONAL,1,UNCLEAR,LOW,0,0,,,,,,,,,,
NCT07123610,"Mediterranean Diet Education in Shift Nurses: Effects on Sleep, Activity, and Health Parameters",COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT02769273,Stellarex Vascular E-Registry,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05635370,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM)- Pentoxifylline Versus Cilostazol,COMPLETED,,OBSERVATIONAL,1,UNCLEAR,LOW,0,0,,,,,,,,,,
NCT04751890,Structured Home-based Exercise Versus Walking Advice in Claudication Patients: a Randomized-controlled Trial,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05399680,Evaluation of Safety and Efficacy of the S.M.A.R.T. RADIANZ™ Vascular Stent System in the Treatment of Iliac and Femoropopliteal Lesions Via Transradial Access,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT04950634,Sexual Dimorphism in Cardiovascular Autonomic Neuropathy in Patients With Type 1 Diabetes,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT03511612,Comparison of the Ankle-Brachial Index Measurement Using a Specific Oscillometric Device vs. the Doppler Method,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06644651,Fat Around Heart Arteries as a Measure of Inflammation in Patients With Diabetes,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT07093632,Medium-term Results of Lower Limb Arterial Bypass,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT04083456,Dysvascular Amputation Self-Management of Health,COMPLETED,PHASE2,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT05535907,BOLT Lithotripsy RESTORE BTK Trial,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT02807779,Intima Versus Adventitia Drug Delivery to Elucidate Mechanisms of Restenosis: Magnetic Resonance Imaging,COMPLETED,PHASE4,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,N,NEGATIVE,MED,CTGOV_STRUCTURED,Change in Percent Wall Volume (PWV),From Post-Operative Day One to 12 Months,p=0.22,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.22,,
NCT05680935,microRNAs in the Diagnosis of Atherosclerotic Plaque Instability,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04382443,Oral Colchicine in Argentina to Prevent Restenosis,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT05610280,"A Study of Olezarsen (ISIS 678354) in Participants With Hypertriglyceridemia and Atherosclerotic Cardiovascular Disease, or With Severe Hypertriglyceridemia",COMPLETED,PHASE3,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT02963649,IN.PACT BTK Randomized Study to Assess Safety and Efficacy of IN.PACT 014 vs. PTA,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT04191746,BEST vCLI Registry,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05888740,Feasibility Study to Evaluate Therapeutic Ultrasound (TUS) to Acutely Increase the Perfusion in Peripheral Arterial Disease (PAD),COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT05537571,Evaluate SLN360 in Participants With Elevated Lipoprotein(a) at High Risk of Atherosclerotic Cardiovascular Disease Events,COMPLETED,PHASE2,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,Week 36,"p=0.0001, p=0.0001, p=0.0001","Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,
NCT04061018,"The Genetic, Protein, and Lipid Basis of Variation in Cholesterol Efflux",COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05858905,FORWARD PAD IDE Study With the Shockwave Javelin IVL Catheter,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT07037979,Sarcopenia and Peripheral Artery Disease With Chronic Limb Threatening Ischemia,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05118178,Atherosclerosis in Chemotherapy-related Cardiotoxicity,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT06404515,Telehealth Group Counseling and Preventive Care for Women,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT07023445,Patterns of Inclisiran Use in the Real World: An Analysis of US Databases,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05100745,A Non-significant Risk Clinical Study to Assess Perfusion Changes With Application of a TUS for Patients With PAD,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06164977,Chronic Total Coronary Occlusion Treatment Results 6 Years After Bioresorbable Scaffold Implantation,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04460482,Near-infrared Spectroscopy Guided Percutaneous Coronary Intervention in Patients With Acute Myocardial Infarction,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05192941,"Study of Efficacy, Safety, Tolerability and Quality of Life of Inclisiran (KJX839) vs Placebo, on Top of Ongoing Individually Optimized Lipid-lowering Therapy, in Participants With Hypercholesterolemia",COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT04539704,Assessing Impacts of Static Magnetic Fields on Peripheral Pulses and Skin Blood Flow,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05058456,Mini S Feasibility Study With Shockwave Medical Mini S Peripheral IVL System,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT06692764,A Study to Assess the Effect of AZD0780 on Ambulatory Blood Pressure,COMPLETED,PHASE2,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT04992065,A Research Study Looking at How NNC0385-0434 Tablets Work to Lower Blood Cholesterol in People With Heart Disease or a High Risk of Heart Disease,COMPLETED,PHASE2,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,"Baseline (week 0), week 12","p=0.0001, p=0.0001, p=0.0001","Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,
NCT06443814,Multicenter Trial of Meditation and Health Education for Cardiometabolic Disease in Black Women,COMPLETED,PHASE2,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT06001203,Foot Reflexology and Pain and Ankle Brachial Index and Walking Impairement,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT03990545,Vessel Wall MR Imaging to Explore Sex-Differences of Intracranial Arterial Wall Changes After Suspected Stroke,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT06659718,Emulation of the SOUL Diabetes Trial in Healthcare Claims,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT06986369,Effects of Rivaroxaban on Vascular FMD in Patients With Stable Atherosclerotic Vascular Diseases,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT02471638,DETOUR I Clinical Study for Percutaneous Femoropopliteal Bypass,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT06874751,Semaglutide Effects on Cardiovascular Outcomes in People With Overweight or Obesity in the Real World,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05436977,Synergy Between morpHOlogical and inflammatoRy Evaluation in Predicting Long-term Coronary Plaque Progression,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04929249,"A Randomized Study to Evaluate the Effect of an ""Inclisiran First"" Implementation Strategy Compared to Usual Care in Patients With Atherosclerotic Cardiovascular Disease and Elevated LDL-C Despite Receiving Maximally Tolerated Statin Therapy (VICTORION-INITIATE)",COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline in LDL-C,"Baseline, Day 330",p=0.001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001,,
NCT05741827,YOUhealTH - a Study to Improve Cardiovascular Health in Adolescents and Adults,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
