nctId,briefTitle,phases,has_resultsSection,primary_outcomes_extracted,stats_or_conclusion_snippets,auto_suggest_outcome_label,auto_suggest_confidence,ctgov_url,error
NCT03473223,Study to Investigate CSL112 in Subjects With Acute Coronary Syndrome,PHASE3,1.0,"Number of Participants With First Occurrence of Any Component of Composite MACE (CV Death, MI, or Stroke) | From the time of randomization through 90 days | MACE (Major adverse cardiovascular event\[s\])(CV \[cardiovascular\] death, MI \[Myocardial Infarction\], or stroke).",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03473223,
NCT03743636,Nicotinamide Riboside With and Without Resveratrol to Improve Functioning in Peripheral Artery Disease,PHASE3,1.0,"Six-minute Walk Distance (NR Alone vs. Placebo) | Baseline to 6-month follow-up | Among participants with PAD, investigators will determine whether NR alone improves six-minute walk distance at 6-month follow-up, compared to placebo. || Six-minute Walk Distance (NR/Resveratrol vs. Placebo) | Baseline to 6-month follow-up | Among participants with PAD, investigators will determine whether NR combined with resveratrol improves six-minute walk performance at 6-month follow-up, compared to placebo.",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03743636,
NCT05421078,A Dose-Finding Study in Japanese Patients to Evaluate the Effect of Obicetrapib as an Adjunct to Stable Statin Therapy.,PHASE2,1.0,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8 Weeks | Mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C was calculated using the Friedewald equation unless TG≥4 || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8 Weeks | Median percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C was calculated using the Friedewald equation unless  || LS Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8 Weeks | LS Mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C was calculated using the Friedewald equation unles || Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [PUC] | 8 Weeks | Mean Percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC). || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [PUC] | 8 Weeks | Median Percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC),,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05421078,
NCT03064126,RANGER™ Paclitaxel Coated Balloon vs Standard Balloon Angioplasty,PHASE3,1.0,"Number of Participants With Primary Lesion Patency | 12 months (RCT); 6 months (LB substudy) | RCT outcome measure: Primary patency of the target lesion is determined by Peak Systolic Velocity Ratio (PSVR) ≤ 2.4 (by duplex ultrasound (DUS)) and freedom from clinically-driven Target Lesion Revascular || Major Adverse Events (MAEs) (Primary Safety Endpoint) | Primary safety endpoint assessed at 12 months for RCT study and at both 6 and 12 months for LB substudy. | RCT: MAE is defined as a composite of freedom from all-cause death through 1 month, target limb major amputation (defined as at or above ",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03064126,
NCT02376010,Rivaroxaban Versus Warfarin in the Evaluation of Progression of Coronary Calcium,PHASE4,1.0,Coronary Artery Calcium (Serial Calcium Scans) | 1 year | serial calcium scans,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02376010,
NCT04807400,Study in Primary Care Evaluating Inclisiran Delivery Implementation + Enhanced Support,PHASE3,1.0,"Percentage Change in LDL-C From Baseline to Day 270 | Baseline, Day 270 | Change in Low Density Lipoprotein Cholesterol (LDL-C) after 270 days of treatment in adults on established lipid lowering medication or who have been recommended lipid lowering therapy by their health care provider but are una",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04807400,
NCT03689946,Effect of Evolocumab on Coronary Atherosclerosis,PHASE3,1.0,Change in Noncalcified Coronary Artery Plaque Volume (NCPV) | baseline (pre-treatment) and 18 months after of treatment | Compare NCPV in mm\^3 measured on cardiac CT images as analyzed by quantitative software between the two assessments,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03689946,
NCT04753606,Randomized Study of Obicetrapib as an Adjunct to Statin Therapy,PHASE2,1.0,"Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8-weeks | Mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group.LDL-C was calculated using the Friedewald equation unless TG

≥ || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8-Weeks | Median Percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. \[Friedewald\] LDL-C was calculated using the Friedewald e || LS Mean Percent Change Iin Low-Density Lipoprotein Cholesterol (LDL-C) [Friedewald] | 8-Weeks | LS mean percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. \[Friedewald\] LDL-C was calculated using the Friedewal || Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [PUC] | 8-Weeks | Mean Percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC). || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) [PUC] | 8-Weeks | Median Percent change from Day 1 to Day 56 in Low-Density Lipoprotein Cholesterol (LDL-C) for each obicetrapib group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC)",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04753606,
NCT05266586,Study to Evaluate the Effect of Obicetrapib in Combination With Ezetimibe as an Adjunct to HIS Therapy,PHASE2,1.0,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald] | 12-weeks | Mean percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combination || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald] | 12-Weeks | Median percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combina || LS Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [Friedewald] | 12-Weeks | LS Mean percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combi || Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [PUC] | 12-Weeks | Mean percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combination treatm || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) for Combination Treatment Group Compared With the Placebo Group [PUC] | 12-Weeks | Median percent change from Day 1 to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) for the obicetrapib 10 mg + ezetimibe 10 mg combination tr,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05266586,
NCT03551496,The DES BTK Vascular Stent System vs PTA in Subjects With Critical Limb Ischemia,PHASE3,1.0,"Number of Participants With Primary Patency | 12 months | Twelve-Month Primary Patency defined as a binary endpoint to be determined via duplex ultrasound (DUS) measuring flow at the 12-month follow-up visit, in the absence of clinically-driven target lesion revascularization (TLR) or bypass of the  || Number of Participants Free From Major Adverse Events (MAE) | 12 months | The primary safety endpoint assesses freedom from major adverse events (MAE) at 12 months post-procedure. (MAE is defined as: above ankle amputation in index limb; major re-intervention; and perioperative (30 day) mortality)",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03551496,
NCT03363165,Hepatocyte Growth Factor to Improve Functioning in PAD,PHASE2,1.0,Six-minute Walk Distance | Change from baseline to six-month follow-up in six-minute walk distance | Participants walking up and down a 100 foot hallway for six minutes following a standardized protocol. The goal is for them to walk as far as possible in six minutes,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03363165,
NCT00496834,LAAS (Losartan Anti-Atherosclerosis Study)(0954-330)(COMPLETED),PHASE4,1.0,Pulse Wave Velocity (PWV) Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug | Baseline and 24 Weeks | Analysis was performed in the modified intention to treat (mITT) population. || PWV Changes From Baseline (Visit 2) to 24 Weeks (Visit 6) After the Administration of the Study Drug | Baseline and 24 Weeks | Analysis was performed in the per protocol (PP) population which additionally excludes certain protocol violations as described in the analysis plan.,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00496834,
NCT05742841,EMERALD (Emergency Medicine Cardiovascular Risk Assessment for Lipid Disorders),PHASE4,1.0,Low-density Lipoprotein Cholesterol (LDL-C) Levels at Baseline and Day 30 | Baseline and Day 30 | A lipid panel is a common blood test that healthcare providers use to monitor and screen for risk of cardiovascular disease. The panel includes three measurements of your cholesterol levels and a measur,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05742841,
NCT04770389,Randomized Study of Obicetrapib in Combination With Ezetimibe,PHASE2,1.0,Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald] | 8 weeks | Mean percent change in LDL-C from baseline to Day 57; LDL-C determined using the Friedewald formula || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald] | 8 weeks | Median percent change in LDL-C from baseline to Day 57; LDL-C determined using the Friedewald formula || LS Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [Friedewald] | 8 weeks | LS Mean percent change in LDL-C from baseline to Day 57; LDL-C determined using the Friedewald formula || Mean Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [PUC] | 8 weeks | Mean percent change in LDL-C from baseline to Day 57; LDL-C measured using preparative ultracentrifugation (PUC) || Median Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 57: Obicetrapib in Combination With Ezetimibe Compared to Placebo [PUC] | 8 weeks | Median percent change in LDL-C from baseline to Day 57; LDL-C measured using preparative ultracentrifugation (PUC),,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04770389,
NCT03329599,Stroke Minimization Through Additive Anti-atherosclerotic Agents in Routine Treatment,PHASE2,1.0,Carotid Intimal Media Thickness | Baseline and 12 months | Thickness of the intima and media layers of the carotid arteries,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03329599,
NCT02169089,Mineralocorticoid Receptor Antagonism Clinical Evaluation in Atherosclerosis Trial,PHASE4,1.0,Percent Change in Atheroma Volume (PAV) in the Thoracic Aorta of Spironolactone vs. Placebo | 56 weeks,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02169089,
NCT02431325,A Study of the Gut Barrier and Blood Vessel Inflammation in Individuals With and Without HIV,PHASE2,1.0,"Change in Arterial Target to Background Ratio of 18-Fluorodeoxyglucose Positron Emission Tomography (FDG-PET) Uptake | Change from baseline at 6 months | Change in maximum target to background ratio (TBRmax) of the most diseased segment (MDS) of the carotid index vessel. A negative number for the ch || Change in Intestinal Epithelial Integrity | Change from baseline at 6 months | Change in plasma citrulline is calculated as log2 of the ratio of plasma citrulline at study end to baseline. Citrulline is a measure of functional small bowel mass, so a positive number is considered an improvement in in || Change in Soluble CD14 Concentration | Change from baseline at 6 months | Soluble CD14 is a marker of monocyte activation. An increase in soluble CD14 concentration indicates an increase in inflammation.",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02431325,
NCT00118846,,,,,,,,,"HTTPSConnectionPool(host='clinicaltrials.gov', port=443): Max retries exceeded with url: /api/v2/studies/NCT00118846?format=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))"
NCT03060577,An Extension Trial of Inclisiran in Participants With Cardiovascular Disease and High Cholesterol,PHASE2,1.0,Percentage Change in LDL-C From Baseline of the ORION-1 Study to Day 210 in ORION-3 (Inclisiran Arm) | Baseline (ORION-1) and Day 210 (ORION-3) (up to 570 days total) | Percent Change in LDL-C (beta-quantification) from baseline of the ORION-1 Study to Day 210 in ORION-3. A negative percentage score,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03060577,
NCT03829046,The Effects of Evolocumab in Patients With Diabetes and Atherosclerotic Vascular Disease,PHASE4,1.0,"Number of Adverse Events | up to 12 weeks | Safety as measured by number of adverse events, defined as any untoward medical occurrence in a subject who has been administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment.",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03829046,
NCT02926027,Effect of Vascepa on Improving Coronary Atherosclerosis in People With High Triglycerides Taking Statin Therapy,PHASE4,1.0,Progression Rates of Low Attenuation Plaque Under Influence of Vascepa as Compared to Placebo as a Change Between Two or More Time Points | 18 months | low attenuation plaque volume change from baseline to 18 months,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02926027,
NCT00114517,ELITE: Early Versus Late Intervention Trial With Estradiol,PHASE2,1.0,Progression of Subclinical Atherosclerosis | Baseline x 2 and then every 6 months up to 6.7 years | Rate of change in distal common carotid artery (CCA) far wall intima-media thickness (mm per year) in computer image processed B-mode ultrasonograms that were obtained at two baseline examinations (av,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00114517,
NCT01776424,Rivaroxaban for the Prevention of Major Cardiovascular Events in Coronary or Peripheral Artery Disease,PHASE3,1.0,"The First Occurrence of the Composite Primary Efficacy Outcome, Myocardial Infarction (MI), Stroke, or Cardiovascular (CV) Death | For each participant, the first occurrence of the composite primary efficacy outcome after randomization up until the global rivaroxaban/aspirin outcomes cut-off date (0 || The First Occurrence of the Primary Safety Outcome Major Bleeding Based on a Modification of the International Society on Thrombosis and Haemostasis (ISTH) Criteria | For each participant, the first occurrence of modified ISTH major bleeding after randomization up until the global rivaroxaban/aspiri",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01776424,
NCT03364270,TRACER [F-18] RDG-K5 Carotid Plaque Imaging Study,PHASE2,1.0,Uptake of [F-18] RGD-K5 by Carotid Plaque With PET/MRI Imaging in the Artery Believed to be the Cause of Transient Ischemic Attack (TIA) or Stroke Symptoms Compared to the Contralateral Carotid Artery Not Implicated in TIA or Stroke | within 96 hrs of a stroke or TIA (transient ischemic attack) | To,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03364270,
NCT01121224,Drug-Eluting Stents vs. Bare Metal Stents In Saphenous Vein Graft Angioplasty,PHASE4,1.0,"Number of Participants With Target Vessel Failure (TVF), Defined as the Composite of Cardiac Death | 12 months || Number of Participants With Target Vessel Failure (TVF), Defined as the Target Vessel Myocardial Infarction | 12 months || Number of Participants With Target Vessel Failure (TVF), Defined as the Target Vessel Revascularization | 12 months",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01121224,
NCT03718429,Pharmacodynamic Effects of Low-dose Rivaroxaban With Antiplatelet Therapies,PHASE4,1.0,"Platelet-Mediated Global Thrombogenicity | 20 days | Comparison of platelet-mediated global thrombogenicity measured by light transmittance aggregometry following collagen-related peptide+adenosine diphosphate+ tissue factor (CATF) stimuli between aspirin plus clopidogrel vs. aspirin plus clopidogre || Platelet Aggregation Measured by VerifyNow PRU | 20 days | P2Y12 reaction units (PRU) by VerifyNow of dual antiplatelet therapy vs. dual antiplatelet therapy plus rivaroxaban. VerifyNow is a turbidimetric based optical detection system which measures platelet aggregation induced by ADP as an increas || Thrombin Generation | 20 days | Comparison of thrombin generation, reported as peak thrombin level measured by a thrombin generation assay, between aspirin plus clopidogrel vs. aspirin plus clopidogrel plus rivaroxaban. This is reflective of the amount of thrombin that is generated following stimuli",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03718429,
NCT00715273,Evaluate Carotid Artery Plaque Composition by Magnetic Resonance Imaging in People Receiving Cholesterol Medication,PHASE4,1.0,"Annualized LRNC Volume Change in Carotid Plaque Composition, as Assessed by MRI | Measured at Years 1, 2, and 3 | The primary endpoint of this study is carotid plaque lipid composition identified by MRI. The determination of plaque lipid content for each carotid artery will be performed using the au || Annualized LRNC and Wall Volume Changes in Carotid Plaque Composition, as Assessed by MRI | Measured at Years 1, 2, and 3 | The primary endpoint of this study is carotid plaque lipid composition identified by MRI. The determination of plaque lipid content for each carotid artery will be performed us",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00715273,
