gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
38783	Peripheral venous congestion model: endothelial cells	570	Homo sapiens	24	0	0	low	14.0			0	
GSE45570	An Investigation of Global Gene Expression Patterns in Glaucoma and Ocular Hyper	5175	Homo sapiens	18	0	0	low	14.0			0	
GSE48149	Lung tissues in systemic sclerosis have gene expression patterns unique to pulmo	16221	Homo sapiens	53	0	0	low	14.0			0	
GSE24752	Microarray Analysis of differential gene expression in peripheral blood cells of	570	Homo sapiens	6	0	0	low	14.0			0	
GSE38528	A Validated Gene Signature from Peripheral Blood Mononuclear Cells in Pulmonary 	5175	Homo sapiens	27	0	0	low	14.0			0	
GSE33463	Erythroid-Specific Transcriptional Changes in PBMCs from Pulmonary Hypertension 	6947	Homo sapiens	140	0	0	low	14.0			0	
33463	Pulmonary hypertensions: PBMCs	6947	Homo sapiens	140	0	0	low	14.0			0	
GSE24988	Gene expression profiles based on Pulmonary Artery Pressures in Pulmonary Fibros	6244	Homo sapiens	116	0	0	low	14.0			0	
24988	Pulmonary fibrosis with associated pulmonary hypertension: lung explants	6244	Homo sapiens	116	0	0	low	14.0			0	
GSE21284	A critical role of microRNAs in human pulmonary arterial hypertension. miR-204: 	10305;4133	Homo sapiens	8	0	0	low	14.0			0	
GSE22356	Altered immune phenotype in peripheral blood cells of patients with scleroderma-	570	Homo sapiens	38	0	0	low	14.0			0	
22356	Scleroderma-associated pulmonary hypertension: peripheral blood mononuclear cell	570	Homo sapiens	38	0	0	low	14.0			0	
GSE4737	HCaRG vs NEO	570	Homo sapiens	8	0	0	low	11.0			0	
4737	Hypertension-related calcium-regulated gene overexpression effect on kidney cell	570	Homo sapiens	8	0	0	low	0.0			0	excluded: cell line
GSE2559	Effect of BMP-2 on Pulmonary Artery Smooth Muscle Cells from Patients with Idiop	8300	Homo sapiens	7	0	0	low	11.0			0	
2559	Bone morphogenic protein 2 effect on idiopathic pulmonary arterial hypertension	8300	Homo sapiens	7	0	0	low	11.0			0	
GSE703	Blood pulmonary arterial hypertension	80	Homo sapiens	20	0	0	low	11.0			0	
703	Pulmonary arterial hypertension and PBMC	80	Homo sapiens	20	0	0	low	11.0			0	
GSE285199	Cholesterol Homeostasis Disruption and Monocyte Recruitment Drive Atrial Fibrill	24676	Homo sapiens	6	0	0	low	0.0			0	excluded: single-cell
GSE244784	Hepatic hypertension on-a-chip identifies GPR116 as a hydrostatic pressure mecha	24676;24247	Mus musculus; Homo sapiens	18	0	0	low	20.0			0	
GSE312011	A transcriptomic signature that predicts pre-hypertension in adolescence and hig	20301	Homo sapiens	31	0	0	low	20.0			0	
GSE270483	Macrophage Involvement in the Pathology of Chronic Thromboembolic Pulmonary Hype	24676	Homo sapiens	8	0	0	low	0.0			0	excluded: single-cell
GSE308621	Effects of TCDCA-FXR on obesity-induced endothelial dysfunction and hypertension	24676	Homo sapiens	6	0	0	low	20.0			0	
GSE308620	Effects of TCDCA-FXR on obesity-induced endothelial dysfunction and hypertension	24676	Homo sapiens	8	0	0	low	20.0			0	
GSE272776	Integration of transcriptomics, proteomics, phosphoproteomics analysis for chara	24676	Homo sapiens	16	0	0	low	20.0			0	
GSE228135	Deficiency of Smooth Muscle ADAR1 RNA Editing Exacerbates Vascular Remodeling an	30173	Homo sapiens	18	0	0	low	20.0			0	
GSE228134	Deficiency of Smooth Muscle ADAR1 RNA Editing Exacerbates Vascular Remodeling an	30173	Homo sapiens	6	0	0	low	20.0			0	
GSE228133	Deficiency of Smooth Muscle ADAR1 RNA Editing Exacerbates Vascular Remodeling an	30173	Homo sapiens	12	0	0	low	20.0			0	
GSE303084	Pressure Points: Endothelial Responses to Hemodynamic Stress in Health and Pulmo	30173	Homo sapiens	72	0	0	low	20.0			0	
GSE302167	MYDGF Governs Endothelial Homeostasis in Hypertension	24676	Homo sapiens	10	0	0	low	20.0			0	
GSE202698	Mineralocorticoid Receptor Antagonism by Finerenone Attenuates Established Pulmo	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE291523	The design, pharmacology, and toxicology exploring of a novel chemically modifie	18404;18460	Homo sapiens; Rattus norvegicus	132	0	0	low	20.0			0	
GSE275938	Bronchopulmonary Dysplasia with Pulmonary Hypertension Associates with Loss of S	24676	Homo sapiens	7	0	0	low	0.0			0	excluded: murine
GSE199764	E-cigarettes induce dysregulation of autophagy leading to endothelial dysfunctio	24676	Homo sapiens	8	0	0	low	20.0			0	
GSE291508	Transcriptional changes of the extracellular matrix in chronic thromboembolic pu	30173	Homo sapiens	20	0	0	low	20.0			0	
GSE236442	Combined analysis of metabolomics, proteomics, and transcriptomics to identify b	24676	Homo sapiens	30	10	10	medium	72.0	patient	healthy	1	
GSE277556	Exploring Integrin α5β1 as a Potential Therapeutic Target for Pulmonary Arterial	24676	Homo sapiens	20	0	0	low	20.0			0	
GSE255075	High-throughput sequencing analysis of placental tissue from pregnant women with	24676	Homo sapiens	9	0	0	low	20.0			0	
GSE283520	GP IIb/IIIa-ICAM-1 Mediated Platelet-Endothelial Adhesion Exacerbates Pulmonary 	21697	Homo sapiens	13	0	0	low	20.0			0	
GSE208592	Characterization of DNA methylation changes associated with lung and right ventr	24676	Homo sapiens	33	0	0	low	0.0			0	excluded: methylation
GSE263226	Unravelling AURKB as a potential therapeutic target in pulmonary arterial hypert	24676	Homo sapiens	31	0	0	low	20.0			0	
GSE274053	microRNA-637/661 ameliorate hypoxic induced pulmonary arterial hypertension by t	16791	Homo sapiens	9	0	0	low	0.0			0	excluded: microrna
GSE277919	Characteristic disease defects in circulating endothelial cells isolated from pa	16791	Homo sapiens	18	8	5	medium	59.5	patient	control	1	
GSE249997	Liver dysfunction in obesity is associated with cerebrovascular health independe	24676	Homo sapiens	77	0	0	low	20.0			0	
GSE247468	Single-cell RNA sequencing for heart failure with a history of coronary heart di	24676	Homo sapiens	6	0	0	low	0.0			0	excluded: single-cell
GSE274381	The significance of CD16+ monocytes in the occurrence and development of Chronic	24676	Homo sapiens	6	0	0	low	0.0			0	excluded: single-cell
GSE262828	Molecular mechanisms of Target organ damage in youth with primary hypertension [	23227	Homo sapiens	89	0	0	low	0.0			0	excluded: mirna
GSE262821	Molecular mechanisms of Target organ damage in youth with primary hypertension	28038;20301;23227	Homo sapiens	288	0	0	low	20.0			0	
GSE262815	Molecular mechanisms of Target organ damage in youth with primary hypertension [	20301	Homo sapiens	20	0	0	low	0.0			0	excluded: mirna
GSE262814	Molecular mechanisms of Target organ damage in youth with primary hypertension [	20301	Homo sapiens	20	0	0	low	0.0			0	excluded: mirna
GSE270175	Oxysterol Sensing through GPR183 Triggers Endothelial Senescence and Cardio-rena	24676;24247	Homo sapiens; Mus musculus	18	0	0	low	20.0			0	
GSE244781	Molecular changes implicate angiogenesis and arterial remodeling in systemic scl	20795;24676;18573	Homo sapiens	33	0	0	low	20.0			0	
GSE254617	Integrative Multiomics in the Lung Reveals a Protective Role of Asporin in Pulmo	21290	Homo sapiens	148	0	0	low	0.0			0	excluded: single-cell
GSE249697	Transcriptional changes of the extracellular matrix in chronic thromboembolic pu	18573;30173	Homo sapiens	135	0	0	low	20.0			0	
GSE249696	Transcriptional changes of the extracellular matrix in chronic thromboembolic pu	30173	Homo sapiens	95	0	0	low	20.0			0	
GSE249694	Transcriptional changes of the extracellular matrix in chronic thromboembolic pu	30173	Homo sapiens	6	0	0	low	20.0			0	
GSE249691	Transcriptional changes of the extracellular matrix in chronic thromboembolic pu	18573	Homo sapiens	14	0	0	low	20.0			0	
GSE243193	Transcriptional Profiles of Pulmonary Artery Endothelial Cells in Pulmonary Hype	16791	Homo sapiens	55	0	0	low	20.0			0	
GSE243774	RAB7 deficiency impairs pulmonary artery endothelial function and promotes pulmo	24676	Homo sapiens	6	0	0	low	20.0			0	
GSE240941	Transcriptional profiling unveils molecular subgroups of adaptive and maladaptiv	32190;18573	Rattus norvegicus; Homo sapiens	107	0	0	low	20.0			0	
GSE236251	Effect of pulmonary hypertension due to left heart disease on gene expression in	11154	Homo sapiens	28	0	0	low	20.0			0	
GSE217007	Hypertension state and overweight/obesity affect the transcriptome alternation i	24676	Homo sapiens	9	0	0	low	20.0			0	
GSE233189	Single Cell RNA sequencing of the Monocytes from controls and pulmonary arterial	20301	Homo sapiens	12	0	0	low	20.0			0	
GSE229083	Discrimination between Pre- and Post-capillary Pulmonary Hypertension using Plat	16791	Homo sapiens	100	0	0	low	20.0			0	
GSE221264	Stub1 acetylation by CBP/p300 attenuates chronic hypoxia-induced pulmonary hyper	17021;16791	Homo sapiens; Mus musculus	19	0	0	low	20.0			0	
GSE228644	Gene expression profile at single cell level of human pulmonary arteries (PA) of	21103;20301	Homo sapiens; Mus musculus	13	0	0	low	20.0			0	
GSE207101	Effect of HNRNPA2B1 inhibition in pulmonary arterial smooth muscle cell from pul	21290	Homo sapiens	6	0	0	low	20.0			0	
GSE221511	Anti-proliferative effect of selexipag active metabolite MRE-269 on pulmonary ar	24676	Homo sapiens	15	0	0	low	20.0			0	
GSE210248	Gene expression profile at single cell level of human pulmonary arteries (PA) of	20301;21103	Mus musculus; Homo sapiens	8	0	0	low	0.0			0	excluded: murine
GSE212816	Mediator 1 Regulation of the BMP/TGF-b Signaling in Endothelium: Implications fo	18573	Homo sapiens	6	0	0	low	0.0			0	excluded: in vitro
GSE188938	Transcriptome sequencing and ceRNA (lncRNA-miRNA-mRNA) network construction iden	23227	Homo sapiens	12	0	0	low	0.0			0	excluded: mirna
GSE194080	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	24	0	0	low	20.0			0	
GSE194079	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	9	0	0	low	20.0			0	
GSE193776	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE144936	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573;17303	Homo sapiens	42	0	0	low	20.0			0	
GSE144932	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE164493	Single Cell RNA sequencing of the Dendritic Cells from controls and pulmonary ar	20301	Homo sapiens	7	0	0	low	20.0			0	
GSE204835	Placental transcriptome analysis of hypertensive pregnancies identifies distinct	30173	Homo sapiens	48	0	0	low	20.0			0	
GSE202682	Breast Cancer Chemotherapy Induces Vascular Dysfunction and Hypertension	16791	Homo sapiens	12	0	0	low	20.0			0	
GSE189237	CD158a+/CD158b+ NK Cell Imbalance Correlates with Hypertension in Patients with 	24676	Homo sapiens	6	0	0	low	20.0			0	
GSE185479	Single-cell mRNAseq human pulmonary arterial endothelial cells in healthy and pu	16791	Homo sapiens	6	0	0	low	0.0			0	excluded: single-cell
GSE169045	iPSC-endothelial cell phenotypic drug screening and in silico analyses identify 	20301	Homo sapiens	36	0	0	low	0.0			0	excluded: rat
GSE171398	Systemic and adipocyte transcriptional and functional metabolic dysregulation in	16791	Homo sapiens	27	0	0	low	20.0			0	
GSE169471	Transcriptional profiling of lung cell populations in idiopathic pulmonary arter	20795;18573	Homo sapiens	11	0	0	low	20.0			0	
GSE149413	Transcriptome profile of fibroblasts in chronic thromboembolic pulmonary hyperte	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE163005	Characterizing cerebrospinal fluid immunity in neurological manifestations of CO	18573;24676	Homo sapiens	38	0	0	low	0.0			0	excluded: single-cell
GSE154378	Cell-free DNA Methylation and Transcriptomic Signature Prediction of Pregnancies	20301	Homo sapiens	268	0	0	low	0.0			0	excluded: methylation
GSE154377	Cell-free DNA Methylation and Transcriptomic Signature Prediction of Pregnancies	20301	Homo sapiens	134	0	0	low	0.0			0	excluded: methylation
GSE144274	RNA sequencing of healthy and diseased (idiopathic pulmonary hypertension) human	20301	Homo sapiens	8	0	0	low	20.0			0	
GSE126325	Remodeling of active endothelial enhancers is associated with aberrant gene-regu	11154;20301	Homo sapiens	73	0	0	low	20.0			0	
GSE126262	Remodeling of active endothelial enhancers is associated with aberrant gene-regu	20301	Homo sapiens	18	0	0	low	0.0			0	excluded: chip-seq
GSE135312	RNA-seq analysis of  CRISPR/Cas9 generated human BMPR2 deficient endothelial cel	20301	Homo sapiens	9	0	0	low	17.0			0	
GSE84538	Expression patterns in chronic thromboembolic pulmonary hypertension	21290	Homo sapiens	12	0	0	low	17.0			0	
GSE79613	iPSCs Reveal Protective Modifiers of the BMPR2 mutation in Pulmonary Arterial Hy	11154	Homo sapiens	11	0	0	low	17.0			0	
